query_id;dop;execution_time;estimate_exec_time;query_used_mem;operator_mem;process_used_mem;estimate_work_mem;cstore_buffers;instance_mem;max_dynamic_memory;dynamic_startup_memory;init_used_memory;dynamic_peak_memory;other_memory;io_time;cpu_time;total_costs;operator_num;table_names;query_string;
1;2;1544.86;603;155648;137916;411648;1048576;5334016;33554432;23449600;640000;646144;795648;0;0;0;640022;22;date_dim,store_returns,customer,store;with customer_total_return as (select sr_customer_sk as ctr_customer_sk ,sr_store_sk as ctr_store_sk ,sum(SR_RETURN_AMT_INC_TAX) as ctr_total_return from store_returns ,date_dim where sr_returned_date_sk = d_date_sk and d_year =1999 group by sr_customer_sk ,sr_store_sk)  select  c_customer_id from customer_total_return ctr1 ,store ,customer where ctr1.ctr_total_return > (select avg(ctr_total_return)*1.2 from customer_total_return ctr2 where ctr1.ctr_store_sk = ctr2.ctr_store_sk) and s_store_sk = ctr1.ctr_store_sk and s_state = 'SD' and ctr1.ctr_customer_sk = c_customer_sk order by c_customer_id limit 100;
2;2;56865.1;10975;6118400;6104994;6824960;1048576;5334016;33554432;23449600;640000;647168;6758400;0;0;0;7.50914e+06;24;catalog_sales,web_sales,date_dim;with wscs as  (select sold_date_sk         ,sales_price   from (select ws_sold_date_sk sold_date_sk               ,ws_ext_sales_price sales_price         from web_sales          union all         select cs_sold_date_sk sold_date_sk               ,cs_ext_sales_price sales_price         from catalog_sales)),  wswscs as   (select d_week_seq,         sum(case when (d_day_name='Sunday') then sales_price else null end) sun_sales,         sum(case when (d_day_name='Monday') then sales_price else null end) mon_sales,         sum(case when (d_day_name='Tuesday') then sales_price else  null end) tue_sales,         sum(case when (d_day_name='Wednesday') then sales_price else null end) wed_sales,         sum(case when (d_day_name='Thursday') then sales_price else null end) thu_sales,         sum(case when (d_day_name='Friday') then sales_price else null end) fri_sales,         sum(case when (d_day_name='Saturday') then sales_price else null end) sat_sales  from wscs      ,date_dim  where d_date_sk = sold_date_sk  group by d_week_seq)  select d_week_seq1        ,round(sun_sales1/sun_sales2,2)        ,round(mon_sales1/mon_sales2,2)        ,round(tue_sales1/tue_sales2,2)        ,round(wed_sales1/wed_sales2,2)        ,round(thu_sales1/thu_sales2,2)        ,round(fri_sales1/fri_sales2,2)        ,round(sat_sales1/sat_sales2,2)  from  (select wswscs.d_week_seq d_week_seq1         ,sun_sales sun_sales1         ,mon_sales mon_sales1         ,tue_sales tue_sales1         ,wed_sales wed_sales1         ,thu_sales thu_sales1         ,fri_sales fri_sales1         ,sat_sales sat_sales1   from wswscs,date_dim    where date_dim.d_week_seq = wswscs.d_week_seq and         d_year = 1998) y,  (select wswscs.d_week_seq d_week_seq2         ,sun_sales sun_sales2         ,mon_sales mon_sales2         ,tue_sales tue_sales2         ,wed_sales wed_sales2         ,thu_sales thu_sales2         ,fri_sales fri_sales2         ,sat_sales sat_sales2   from wswscs       ,date_dim    where date_dim.d_week_seq = wswscs.d_week_seq and         d_year = 1998+1) z  where d_week_seq1=d_week_seq2-53  order by d_week_seq1;
3;2;1839.31;24;45056;6694;1059840;1048576;5334016;33554432;23449600;640000;646144;685056;0;0;0;297967;11;item,store_sales,date_dim;select  dt.d_year         ,item.i_brand_id brand_id         ,item.i_brand brand        ,sum(ss_sales_price) sum_agg  from  date_dim dt        ,store_sales       ,item  where dt.d_date_sk = store_sales.ss_sold_date_sk    and store_sales.ss_item_sk = item.i_item_sk    and item.i_manufact_id = 211    and dt.d_moy=11  group by dt.d_year       ,item.i_brand       ,item.i_brand_id  order by dt.d_year          ,sum_agg desc          ,brand_id  limit 100;
4;2;6639.01;1.96662e+18;1916928;2188500;4588544;1048576;5334016;33554432;23449600;640000;1314816;2556928;58368;0;0;2.56162e+21;92;store_sales,date_dim,web_sales,catalog_sales,customer;with year_total as (  select c_customer_id customer_id        ,c_first_name customer_first_name        ,c_last_name customer_last_name        ,c_preferred_cust_flag customer_preferred_cust_flag        ,c_birth_country customer_birth_country        ,c_login customer_login        ,c_email_address customer_email_address        ,d_year dyear        ,sum(((ss_ext_list_price-ss_ext_wholesale_cost-ss_ext_discount_amt)+ss_ext_sales_price)/2) year_total        ,'s' sale_type  from customer      ,store_sales      ,date_dim  where c_customer_sk = ss_customer_sk    and ss_sold_date_sk = d_date_sk  group by c_customer_id          ,c_first_name          ,c_last_name          ,c_preferred_cust_flag          ,c_birth_country          ,c_login          ,c_email_address          ,d_year  union all  select c_customer_id customer_id        ,c_first_name customer_first_name        ,c_last_name customer_last_name        ,c_preferred_cust_flag customer_preferred_cust_flag        ,c_birth_country customer_birth_country        ,c_login customer_login        ,c_email_address customer_email_address        ,d_year dyear        ,sum((((cs_ext_list_price-cs_ext_wholesale_cost-cs_ext_discount_amt)+cs_ext_sales_price)/2) ) year_total        ,'c' sale_type  from customer      ,catalog_sales      ,date_dim  where c_customer_sk = cs_bill_customer_sk    and cs_sold_date_sk = d_date_sk  group by c_customer_id          ,c_first_name          ,c_last_name          ,c_preferred_cust_flag          ,c_birth_country          ,c_login          ,c_email_address          ,d_year union all  select c_customer_id customer_id        ,c_first_name customer_first_name        ,c_last_name customer_last_name        ,c_preferred_cust_flag customer_preferred_cust_flag        ,c_birth_country customer_birth_country        ,c_login customer_login        ,c_email_address customer_email_address        ,d_year dyear        ,sum((((ws_ext_list_price-ws_ext_wholesale_cost-ws_ext_discount_amt)+ws_ext_sales_price)/2) ) year_total        ,'w' sale_type  from customer      ,web_sales      ,date_dim  where c_customer_sk = ws_bill_customer_sk    and ws_sold_date_sk = d_date_sk  group by c_customer_id          ,c_first_name          ,c_last_name          ,c_preferred_cust_flag          ,c_birth_country          ,c_login          ,c_email_address          ,d_year          )   select                     t_s_secyear.customer_id                  ,t_s_secyear.customer_first_name                  ,t_s_secyear.customer_last_name                  ,t_s_secyear.customer_preferred_cust_flag  from year_total t_s_firstyear      ,year_total t_s_secyear      ,year_total t_c_firstyear      ,year_total t_c_secyear      ,year_total t_w_firstyear      ,year_total t_w_secyear  where t_s_secyear.customer_id = t_s_firstyear.customer_id    and t_s_firstyear.customer_id = t_c_secyear.customer_id    and t_s_firstyear.customer_id = t_c_firstyear.customer_id    and t_s_firstyear.customer_id = t_w_firstyear.customer_id    and t_s_firstyear.customer_id = t_w_secyear.customer_id    and t_s_firstyear.sale_type = 's'    and t_c_firstyear.sale_type = 'c'    and t_w_firstyear.sale_type = 'w'    and t_s_secyear.sale_type = 's'    and t_c_secyear.sale_type = 'c'    and t_w_secyear.sale_type = 'w'    and t_s_firstyear.dyear =  1999    and t_s_secyear.dyear = 1999+1    and t_c_firstyear.dyear =  1999    and t_c_secyear.dyear =  1999+1    and t_w_firstyear.dyear = 1999    and t_w_secyear.dyear = 1999+1    and t_s_firstyear.year_total > 0    and t_c_firstyear.year_total > 0    and t_w_firstyear.year_total > 0    and case when t_c_firstyear.year_total > 0 then t_c_secyear.year_total / t_c_firstyear.year_total else null end            > case when t_s_firstyear.year_total > 0 then t_s_secyear.year_total / t_s_firstyear.year_total else null end    and case when t_c_firstyear.year_total > 0 then t_c_secyear.year_total / t_c_firstyear.year_total else null end            > case when t_w_firstyear.year_total > 0 then t_w_secyear.year_total / t_w_firstyear.year_total else null end  order by t_s_secyear.customer_id          ,t_s_secyear.customer_first_name          ,t_s_secyear.customer_last_name          ,t_s_secyear.customer_preferred_cust_flag limit 100;
5;2;20019.1;13826;1160192;1138276;3065856;1048576;5334016;33554432;23449600;640000;661504;1800192;0;0;0;2.14654e+07;41;web_returns,web_sales,web_site,catalog_sales,catalog_page,catalog_returns,store_returns,store_sales,store,date_dim;with ssr as  (select s_store_id,         sum(sales_price) as sales,         sum(profit) as profit,         sum(return_amt) as returns,         sum(net_loss) as profit_loss  from   ( select  ss_store_sk as store_sk,             ss_sold_date_sk  as date_sk,             ss_ext_sales_price as sales_price,             ss_net_profit as profit,             cast(0 as decimal(7,2)) as return_amt,             cast(0 as decimal(7,2)) as net_loss     from store_sales     union all     select sr_store_sk as store_sk,            sr_returned_date_sk as date_sk,            cast(0 as decimal(7,2)) as sales_price,            cast(0 as decimal(7,2)) as profit,            sr_return_amt as return_amt,            sr_net_loss as net_loss     from store_returns    ) salesreturns,      date_dim,      store  where date_sk = d_date_sk        and d_date between cast('1998-08-21' as date)                    and (cast('1998-08-21' as date) +  14 )        and store_sk = s_store_sk  group by s_store_id)  ,  csr as  (select cp_catalog_page_id,         sum(sales_price) as sales,         sum(profit) as profit,         sum(return_amt) as returns,         sum(net_loss) as profit_loss  from   ( select  cs_catalog_page_sk as page_sk,             cs_sold_date_sk  as date_sk,             cs_ext_sales_price as sales_price,             cs_net_profit as profit,             cast(0 as decimal(7,2)) as return_amt,             cast(0 as decimal(7,2)) as net_loss     from catalog_sales     union all     select cr_catalog_page_sk as page_sk,            cr_returned_date_sk as date_sk,            cast(0 as decimal(7,2)) as sales_price,            cast(0 as decimal(7,2)) as profit,            cr_return_amount as return_amt,            cr_net_loss as net_loss     from catalog_returns    ) salesreturns,      date_dim,      catalog_page  where date_sk = d_date_sk        and d_date between cast('1998-08-21' as date)                   and (cast('1998-08-21' as date) +  14 )        and page_sk = cp_catalog_page_sk  group by cp_catalog_page_id)  ,  wsr as  (select web_site_id,         sum(sales_price) as sales,         sum(profit) as profit,         sum(return_amt) as returns,         sum(net_loss) as profit_loss  from   ( select  ws_web_site_sk as wsr_web_site_sk,             ws_sold_date_sk  as date_sk,             ws_ext_sales_price as sales_price,             ws_net_profit as profit,             cast(0 as decimal(7,2)) as return_amt,             cast(0 as decimal(7,2)) as net_loss     from web_sales     union all     select ws_web_site_sk as wsr_web_site_sk,            wr_returned_date_sk as date_sk,            cast(0 as decimal(7,2)) as sales_price,            cast(0 as decimal(7,2)) as profit,            wr_return_amt as return_amt,            wr_net_loss as net_loss     from web_returns left outer join web_sales on          ( wr_item_sk = ws_item_sk            and wr_order_number = ws_order_number)    ) salesreturns,      date_dim,      web_site  where date_sk = d_date_sk        and d_date between cast('1998-08-21' as date)                   and (cast('1998-08-21' as date) +  14 )        and wsr_web_site_sk = web_site_sk  group by web_site_id)   select  channel         , id         , sum(sales) as sales         , sum(returns) as returns         , sum(profit) as profit  from   (select 'store channel' as channel         , 'store' || s_store_id as id         , sales         , returns         , (profit - profit_loss) as profit  from   ssr  union all  select 'catalog channel' as channel         , 'catalog_page' || cp_catalog_page_id as id         , sales         , returns         , (profit - profit_loss) as profit  from  csr  union all  select 'web channel' as channel         , 'web_site' || web_site_id as id         , sales         , returns         , (profit - profit_loss) as profit  from   wsr  ) x  group by rollup (channel, id)  order by channel          ,id  limit 100;
6;2;891.666;2023;164864;33491;799744;1048576;5334016;33554432;23449600;640000;673792;804864;0;0;0;5.72924e+06;30;item,date_dim,store_sales,customer,customer_address;select  a.ca_state state, count(*) cnt  from customer_address a      ,customer c      ,store_sales s      ,date_dim d      ,item i  where       a.ca_address_sk = c.c_current_addr_sk   and c.c_customer_sk = s.ss_customer_sk   and s.ss_sold_date_sk = d.d_date_sk   and s.ss_item_sk = i.i_item_sk   and d.d_month_seq =         (select distinct (d_month_seq)         from date_dim                where d_year = 1998           and d_moy = 6 )   and i.i_current_price > 1.2 *               (select avg(j.i_current_price)         from item j         where j.i_category = i.i_category)  group by a.ca_state  having count(*) >= 10  order by cnt, a.ca_state   limit 100;
7;2;3009.6;2237;143360;52359;2810880;1048576;5334016;33554432;23449600;640000;656384;783360;0;0;0;6.17199e+06;22;promotion,item,date_dim,customer_demographics,store_sales;select  i_item_id,          avg(ss_quantity) agg1,         avg(ss_list_price) agg2,         avg(ss_coupon_amt) agg3,         avg(ss_sales_price) agg4   from store_sales, customer_demographics, date_dim, item, promotion  where ss_sold_date_sk = d_date_sk and        ss_item_sk = i_item_sk and        ss_cdemo_sk = cd_demo_sk and        ss_promo_sk = p_promo_sk and        cd_gender = 'M' and         cd_marital_status = 'M' and        cd_education_status = '4 yr Degree' and        (p_channel_email = 'N' or p_channel_event = 'N') and        d_year = 2001   group by i_item_id  order by i_item_id  limit 100;
8;2;3373.74;2419;178176;23800;1234944;1048576;5334016;33554432;23449600;640000;700416;818176;0;0;0;5.7091e+06;33;customer,customer_address,date_dim,store,store_sales;select  s_store_name       ,sum(ss_net_profit)  from store_sales      ,date_dim      ,store,      (select ca_zip      from (       SELECT substr(ca_zip,1,5) ca_zip       FROM customer_address       WHERE substr(ca_zip,1,5) IN (                           '43758','76357','20728','59309','19777','27690',                           '23681','52275','64367','24674','79465',                           '52936','53936','91889','89248','70394',                           '66020','56289','45541','29900','99055',                           '47395','16654','26748','74456','31039',                           '77674','87076','92273','31667','20150',                           '84426','75885','61588','57973','29487',                           '95008','65615','24339','84923','38463',                           '13811','44227','18570','40389','14584',                           '33007','61590','47363','57853','43499',                           '90755','47141','14392','33991','77031',                           '22854','20127','10624','15730','75295',                           '98460','17059','26953','82996','17095',                           '53227','34618','86978','33613','12541',                           '63977','53929','55459','11516','85350',                           '99888','23506','10569','66837','50031',                           '28282','83901','98554','54828','14616',                           '12743','42473','95507','30542','12883',                           '95097','61307','32530','37753','53116',                           '10989','87430','22114','68848','21246',                           '68327','28446','85870','11697','30541',                           '22933','70727','17570','55311','73355',                           '16347','61573','81229','95480','92091',                           '52603','51232','62666','12173','31993',                           '98202','78325','46798','63259','34167',                           '50435','56182','29390','51732','88435',                           '10366','46637','69283','18218','33324',                           '24139','16122','53142','16832','98386',                           '41451','85109','32534','83953','76537',                           '60857','59939','22271','38788','26296',                           '59937','14272','98651','38185','16322',                           '13735','56321','81398','36035','36512',                           '96290','40596','22748','77965','28512',                           '15540','20574','72340','81870','31905',                           '18121','26282','30345','38703','74274',                           '71129','23244','68810','10106','55461',                           '25528','71474','37071','21552','81846',                           '64930','13233','11694','17829','43790',                           '60379','11482','22714','40977','73320',                           '13928','78952','92802','66663','95765',                           '86101','19813','90867','81258','93891',                           '32755','21548','36452','50931','95773',                           '57046','14736','30562','44667','80519',                           '99886','97296','38505','29732','38693',                           '83898','88032','64442','25944','39303',                           '70781','92448','64252','89641','88070',                           '38159','27654','72120','41689','37122',                           '63776','90416','28479','14787','18038',                           '39783','50062','28010','13042','86777',                           '32380','80664','33558','43641','14627',                           '68858','57733','53458','73016','76141',                           '42375','12248','38778','50092','80825',                           '58934','12145','78407','57009','52782',                           '72140','35635','63926','35282','29292',                           '30149','33576','95945','48303','56310',                           '32214','69726','48249','91163','57311',                           '12361','20491','13551','61620','59648',                           '44466','53607','18410','99090','37973',                           '17986','80713','95948','35103','51799',                           '54707','52269','86117','44909','15530',                           '28999','80844','62823','46487','15144',                           '51445','81050','34943','45141','28541',                           '12414','56922','50548','16422','16780',                           '53104','60629','24405','61768','48257',                           '92852','27390','24411','17776','81487',                           '34848','45773','64188','24209','55276',                           '11379','33956','46173','67361','32337',                           '82112','73196','38461','43987','17980',                           '65414','12247','42107','15326','73018',                           '59993','85526','50231','60176','23889',                           '88012','27859','44921','50915','21742',                           '21272','64763','78761','62002','18502',                           '42208','49675','69413','46013','67034',                           '52739','94050','76249','25105','67299',                           '77588','50637','14333','39372','98030',                           '79792','12014','56236','61057','51347',                           '87879','71564','48478','33078','23325',                           '25526','52855','27570','78396','18695',                           '24397','76087','35195','97232','29136',                           '15812','18408','40746','78749')      intersect       select ca_zip       from (SELECT substr(ca_zip,1,5) ca_zip,count(*) cnt             FROM customer_address, customer             WHERE ca_address_sk = c_current_addr_sk and                   c_preferred_cust_flag='Y'             group by ca_zip             having count(*) > 10)A1)A2) V1  where ss_store_sk = s_store_sk   and ss_sold_date_sk = d_date_sk   and d_qoy = 1 and d_year = 2000   and (substr(s_zip,1,2) = substr(V1.ca_zip,1,2))  group by s_store_name  order by s_store_name  limit 100;
9;2;7967.8;60494;19456;7926;887808;1048576;5334016;33554432;23449600;640000;657408;659456;0;0;0;4.81889e+07;46;store_sales,reason;select case when (select count(*)                    from store_sales                    where ss_quantity between 1 and 20) > 144610             then (select avg(ss_ext_tax)                    from store_sales                    where ss_quantity between 1 and 20)              else (select avg(ss_net_paid)                   from store_sales                   where ss_quantity between 1 and 20) end bucket1 ,        case when (select count(*)                   from store_sales                   where ss_quantity between 21 and 40) > 162498             then (select avg(ss_ext_tax)                   from store_sales                   where ss_quantity between 21 and 40)              else (select avg(ss_net_paid)                   from store_sales                   where ss_quantity between 21 and 40) end bucket2,        case when (select count(*)                   from store_sales                   where ss_quantity between 41 and 60) > 28387             then (select avg(ss_ext_tax)                   from store_sales                   where ss_quantity between 41 and 60)             else (select avg(ss_net_paid)                   from store_sales                   where ss_quantity between 41 and 60) end bucket3,        case when (select count(*)                   from store_sales                   where ss_quantity between 61 and 80) > 442573             then (select avg(ss_ext_tax)                   from store_sales                   where ss_quantity between 61 and 80)             else (select avg(ss_net_paid)                   from store_sales                   where ss_quantity between 61 and 80) end bucket4,        case when (select count(*)                   from store_sales                   where ss_quantity between 81 and 100) > 212532             then (select avg(ss_ext_tax)                   from store_sales                   where ss_quantity between 81 and 100)             else (select avg(ss_net_paid)                   from store_sales                   where ss_quantity between 81 and 100) end bucket5 from reason where r_reason_sk = 1 ;
10;2;898.515;2611;261120;44795;1196032;1048576;5334016;33554432;23449600;640000;786432;901120;0;0;0;1.11711e+07;42;web_sales,date_dim,store_sales,customer_demographics,customer_address,catalog_sales,customer;select     cd_gender,   cd_marital_status,   cd_education_status,   count(*) cnt1,   cd_purchase_estimate,   count(*) cnt2,   cd_credit_rating,   count(*) cnt3,   cd_dep_count,   count(*) cnt4,   cd_dep_employed_count,   count(*) cnt5,   cd_dep_college_count,   count(*) cnt6  from   customer c,customer_address ca,customer_demographics  where   c.c_current_addr_sk = ca.ca_address_sk and   ca_county in ('Bottineau County','Marion County','Randolph County','Providence County','Sagadahoc County') and   cd_demo_sk = c.c_current_cdemo_sk and    exists (select *           from store_sales,date_dim           where c.c_customer_sk = ss_customer_sk and                 ss_sold_date_sk = d_date_sk and                 d_year = 2000 and                 d_moy between 1 and 1+3) and    (exists (select *             from web_sales,date_dim             where c.c_customer_sk = ws_bill_customer_sk and                   ws_sold_date_sk = d_date_sk and                   d_year = 2000 and                   d_moy between 1 ANd 1+3) or      exists (select *              from catalog_sales,date_dim             where c.c_customer_sk = cs_ship_customer_sk and                   cs_sold_date_sk = d_date_sk and                   d_year = 2000 and                   d_moy between 1 and 1+3))  group by cd_gender,           cd_marital_status,           cd_education_status,           cd_purchase_estimate,           cd_credit_rating,           cd_dep_count,           cd_dep_employed_count,           cd_dep_college_count  order by cd_gender,           cd_marital_status,           cd_education_status,           cd_purchase_estimate,           cd_credit_rating,           cd_dep_count,           cd_dep_employed_count,           cd_dep_college_count limit 100;
