query_id;dop;execution_time;executor_start_time;query_used_mem;operator_mem;process_used_mem;estimate_work_mem;cstore_buffers;instance_mem;max_dynamic_memory;dynamic_startup_memory;init_used_memory;dynamic_peak_memory;other_memory;io_time;cpu_time;total_costs;operator_num;table_names;query_string;
1;8;3949.26;31.394;229376;64404;4232192;2666496;5334016;33554432;23449600;640000;662528;869376;0;0;0;3.22084e+06;7;lineitem;select  l_returnflag,  l_linestatus,  sum(l_quantity) as sum_qty,  sum(l_extendedprice) as sum_base_price,  sum(l_extendedprice * (1 - l_discount)) as sum_disc_price,  sum(l_extendedprice * (1 - l_discount) * (1 + l_tax)/1000) as sum_charge,   avg(l_quantity) as avg_qty,  avg(l_extendedprice) as avg_price,  avg(l_discount) as avg_disc,  count(*) as count_order from  lineitem where  l_shipdate <= date '1998-12-01' - NUMTODSINTERVAL(3,'DAY') group by  l_returnflag,  l_linestatus order by  l_returnflag,  l_linestatus;
2;8;1200.8;25.874;290816;159186;795648;2666496;5334016;33554432;23449600;640000;666624;930816;0;0;0;1.71689e+06;27;region,nation,partsupp,supplier,part;select  s_acctbal,  s_name,  n_name,  p_partkey,  p_mfgr,  s_address,  s_phone,  s_comment from  part,  supplier,  partsupp,  nation,  region,  (   select    ps_partkey as temp_ps_partkey, min(ps_supplycost) as temp_min_ps_supplycost   from    partsupp,    supplier,    nation,    region   where    s_suppkey = ps_suppkey    and s_nationkey = n_nationkey    and n_regionkey = r_regionkey    and r_name = 'EUROPE'      group by ps_partkey  ) as temp where     p_partkey = temp_ps_partkey  and p_partkey = ps_partkey  and s_suppkey = ps_suppkey  and p_size = 15  and p_type like '%BRASS'  and s_nationkey = n_nationkey  and n_regionkey = r_regionkey  and r_name = 'EUROPE'  and ps_supplycost = temp_min_ps_supplycost order by  s_acctbal desc,  n_name,  s_name,  p_partkey limit 100 ;
3;8;2782.51;120.13;795648;460369;3903488;2666496;5334016;33554432;23449600;640000;831488;1435648;0;0;0;2.09212e+07;15;lineitem,orders,customer;select  l_orderkey,  sum(l_extendedprice * (1 - l_discount)) as revenue,  o_orderdate,  o_shippriority from  customer,  orders,  lineitem where  c_mktsegment = 'BUILDING'  and c_custkey = o_custkey  and l_orderkey = o_orderkey  and o_orderdate < '1995-03-15'::date  and l_shipdate > '1995-03-15'::date group by  l_orderkey,  o_orderdate,  o_shippriority order by  revenue desc,  o_orderdate limit 10 ;
4;8;2557.36;143.514;890880;562339;2332672;2666496;5334016;33554432;23449600;640000;886784;1530880;0;0;0;2.46189e+06;13;lineitem,orders;select  o_orderpriority,  count(*) as order_count from  orders where  o_orderdate >= '1993-07-01'::date  and o_orderdate < '1993-07-01'::date + NUMTOYMINTERVAL(3,'month')  and exists (   select    *   from    lineitem   where    l_orderkey = o_orderkey    and l_commitdate < l_receiptdate  ) group by  o_orderpriority order by  o_orderpriority;
5;8;1334.51;118.88;569344;240538;3788800;2666496;5334016;33554432;23449600;640000;905216;1209344;0;0;0;3.64391e+06;21;region,nation,supplier,lineitem,orders,customer;select  n_name,  sum(l_extendedprice * (1 - l_discount)) as revenue from  customer,  orders,  lineitem,  supplier,  nation,  region where  c_custkey = o_custkey  and l_orderkey = o_orderkey  and l_suppkey = s_suppkey  and c_nationkey = s_nationkey  and s_nationkey = n_nationkey  and n_regionkey = r_regionkey  and r_name = 'ASIA'  and o_orderdate >= '1994-01-01'::date  and o_orderdate < '1994-01-01'::date + NUMTOYMINTERVAL(1,'year') group by  n_name order by  revenue desc;
6;8;744.073;6.747;84992;9304;3775488;2666496;5334016;33554432;23449600;640000;645120;724992;0;0;0;1.33337e+06;5;lineitem;select  sum(l_extendedprice * l_discount) as revenue from  lineitem where  l_shipdate >= '1994-01-01'::date   and l_shipdate < '1994-01-01'::date + NUMTOYMINTERVAL(1,'year')  and l_discount between 0.06 - 0.01 and 0.06 + 0.01  and l_quantity < 24;
7;8;1616.07;230.539;912384;417427;4465664;2666496;5334016;33554432;23449600;640000;1097728;1552384;0;0;0;4.00807e+06;23;nation,customer,orders,lineitem,supplier;select  supp_nation,  cust_nation,  l_year,  sum(volume) as revenue from  (   select    n1.n_name as supp_nation,    n2.n_name as cust_nation,    extract(year from l_shipdate) as l_year,    l_extendedprice * (1 - l_discount) as volume   from    supplier,    lineitem,    orders,    customer,    nation n1,    nation n2   where    s_suppkey = l_suppkey    and o_orderkey = l_orderkey    and c_custkey = o_custkey    and s_nationkey = n1.n_nationkey    and c_nationkey = n2.n_nationkey    and (     (n1.n_name = 'FRANCE' and n2.n_name = 'GERMANY')     or (n1.n_name = 'GERMANY' and n2.n_name = 'FRANCE')    )    and l_shipdate between date '1995-01-01' and date '1996-12-31'  ) as shipping group by  supp_nation,  cust_nation,  l_year order by  supp_nation,  cust_nation,  l_year;
8;8;1349.84;200.63;667648;213432;4372480;2666496;5334016;33554432;23449600;640000;992256;1307648;18432;0;0;3.79392e+06;24;region,nation,customer,orders,lineitem,supplier,part;select  o_year,  sum(case   when nation = 'BRAZIL' then volume   else 0  end) / sum(volume) as mkt_share from  (   select    extract(year from o_orderdate) as o_year,    l_extendedprice * (1 - l_discount) as volume,    n2.n_name as nation   from    part,    supplier,    lineitem,    orders,    customer,    nation n1,    nation n2,    region   where    p_partkey = l_partkey    and s_suppkey = l_suppkey    and l_orderkey = o_orderkey    and o_custkey = c_custkey    and c_nationkey = n1.n_nationkey    and n1.n_regionkey = r_regionkey    and r_name = 'AMERICA'    and s_nationkey = n2.n_nationkey    and o_orderdate between date '1995-01-01' and date '1996-12-31'    and p_type = 'ECONOMY ANODIZED STEEL'  ) as all_nations group by  o_year order by  o_year;
9;8;356220;116.045;1981440;1655833;6263808;2666496;5334016;33554432;23449600;640000;823296;2621440;0;0;0;4.14178e+06;19;nation,orders,partsupp,lineitem,supplier,part;select  nation,  o_year,  sum(amount) as sum_profit from  (   select    n_name as nation,    extract(year from o_orderdate) as o_year,    l_extendedprice * (1 - l_discount) - ps_supplycost * l_quantity as amount   from    part,    supplier,    lineitem,    partsupp,    orders,    nation   where    s_suppkey = l_suppkey    and ps_suppkey = l_suppkey    and ps_partkey = l_partkey    and p_partkey = l_partkey    and o_orderkey = l_orderkey    and s_nationkey = n_nationkey    and p_name like '%green%'  ) as profit group by  nation,  o_year order by  nation,  o_year desc;
10;8;1935.37;165.808;1193984;754930;4364288;2666496;5334016;33554432;23449600;640000;983040;1833984;0;0;0;7.25949e+06;18;nation,lineitem,orders,customer;select  c_custkey,  c_name,  sum(l_extendedprice * (1 - l_discount)) as revenue,  c_acctbal,  n_name,  c_address,  c_phone,  c_comment from  customer,  orders,  lineitem,  nation where  c_custkey = o_custkey  and l_orderkey = o_orderkey  and o_orderdate >= date '1993-10-01'  and o_orderdate < date '1993-10-01' + NUMTOYMINTERVAL(3,'month')  and l_returnflag = 'R'  and c_nationkey = n_nationkey group by  c_custkey,  c_name,  c_acctbal,  c_phone,  n_name,  c_address,  c_comment order by  revenue desc limit 20 ;
11;8;1363.81;5.252;138240;104131;480256;2666496;5334016;33554432;23449600;640000;646144;778240;0;0;0;1.56221e+06;17;nation,supplier,partsupp;select  ps_partkey,  sum(ps_supplycost * ps_availqty) as value from  partsupp,  supplier,  nation where  ps_suppkey = s_suppkey  and s_nationkey = n_nationkey  and n_name = 'GERMANY' group by  ps_partkey having   sum(ps_supplycost * ps_availqty) > (    select     sum(ps_supplycost * ps_availqty) * 0.0001/100    from     partsupp,     supplier,     nation    where     ps_suppkey = s_suppkey     and s_nationkey = n_nationkey     and n_name = 'GERMANY'   ) order by  value desc;
12;8;2199.61;51.256;516096;303889;3674112;2666496;5334016;33554432;23449600;640000;742400;1156096;0;0;0;2.98988e+06;10;lineitem,orders;select  l_shipmode,  sum(case   when o_orderpriority = '1-URGENT'    or o_orderpriority = '2-HIGH'    then 1   else 0  end) as high_line_count,  sum(case   when o_orderpriority <> '1-URGENT'    and o_orderpriority <> '2-HIGH'    then 1   else 0  end) as low_line_count from  orders,  lineitem where  o_orderkey = l_orderkey  and l_shipmode in ('MAIL', 'SHIP')  and l_commitdate < l_receiptdate  and l_shipdate < l_commitdate  and l_receiptdate >= date '1994-01-01'  and l_receiptdate < date '1994-01-01' + NUMTOYMINTERVAL(1,'year') group by  l_shipmode order by  l_shipmode;
13;8;5329.94;10.661;198656;115469;1104896;2666496;5334016;33554432;23449600;640000;650240;838656;0;0;0;2.43151e+06;13;orders,customer;select  c_count,  count(*) as custdist from  (   select    c_custkey,    count(*)   from    customer left outer join orders on     c_custkey = o_custkey     and o_comment not like '%special%request%'   group by    c_custkey  ) as c_orders (c_custkey, c_count) group by  c_count order by  custdist desc,  c_count desc;
14;8;883.623;74.076;398336;135076;3433472;2666496;5334016;33554432;23449600;641024;738304;1039360;0;0;0;1.84439e+06;9;part,lineitem;select  100 * sum(case   when p_type like 'PROMO%'    then l_extendedprice * (1 - l_discount)/10   else 0  end) / sum(l_extendedprice * (1 - l_discount)/1000) as promo_revenue  from  lineitem,  part where  l_partkey = p_partkey  and l_shipdate >= date '1995-09-01'  and l_shipdate < date '1995-09-01' + NUMTOYMINTERVAL(1,'month');
15;8;3970.44;0.593;33792;20667;3195904;2666496;5334016;33554432;23449600;640000;643072;673792;0;0;0;6.43067e+06;10;lineitem,supplier;with revenue as (         select                 l_suppkey as supplier_no,                 sum(l_extendedprice * (1 - l_discount)) as total_revenue         from                 lineitem         where                 l_shipdate >= date '1996-01-01'                 and l_shipdate < date '1996-01-01' + NUMTOYMINTERVAL(3,'month')         group by                 l_suppkey ) select         s_suppkey,         s_name,         s_address,         s_phone,         total_revenue from         supplier,         revenue where         s_suppkey = supplier_no         and total_revenue = (                 select                         max(total_revenue)                 from                         revenue         ) order by         s_suppkey;
16;8;829.056;11.499;122880;56338;381952;2666496;5334016;33554432;23449600;640000;649216;762880;0;0;0;1.05898e+06;16;supplier,part,partsupp;select  p_brand,  p_type,  p_size,  count(ps_suppkey) as supplier_cnt  from  partsupp,  part where  p_partkey = ps_partkey  and p_brand <> 'Brand#45'  and p_type not like 'MEDIUM POLISHED%'  and p_size in (49, 14, 23, 45, 19, 3, 36, 9)  and ps_suppkey not in (   select    s_suppkey   from    supplier   where    s_comment like '%Customer%Complaints%'  ) group by  p_brand,  p_type,  p_size order by  supplier_cnt desc,  p_brand,  p_type,  p_size limit 100 ;
17;8;5021.69;115.959;2241536;1830004;3212288;2666496;5334016;33554432;23449600;640000;811008;2881536;0;0;0;3.67972e+06;14;part,lineitem;select  sum(l_extendedprice) / 7.0 as avg_yearly from  lineitem,  part,  (select       l_partkey as temp_l_partkey, 0.2 * avg(l_quantity) as temp_avg   from   lineitem   group by l_partkey  ) as temp where  p_partkey = l_partkey  and p_brand = 'Brand#23'  and p_container = 'MED BOX'  and l_quantity < temp_avg  and p_partkey = temp_l_partkey;
18;8;3858.79;260.821;3524608;3058070;2980864;2666496;5334016;33554432;23449600;640000;1155072;4164608;19456;0;0;6.07054e+06;22;lineitem,orders,customer;select  c_name,  c_custkey,  o_orderkey,  o_orderdate,  o_totalprice,  sum(l_quantity) from  customer,  orders,  lineitem where  o_orderkey in (   select    l_orderkey   from    lineitem   group by    l_orderkey having     sum(l_quantity) > 300  )  and c_custkey = o_custkey  and o_orderkey = l_orderkey group by  c_name,  c_custkey,  o_orderkey,  o_orderdate,  o_totalprice order by  o_totalprice desc,  o_orderdate limit 100;
19;8;2047.03;66.253;371712;95775;4399104;2666496;5334016;33554432;23449600;640000;735232;1011712;0;0;0;1.91453e+06;9;part,lineitem;select  sum(l_extendedprice* (1 - l_discount)) as revenue from  lineitem,  part where  (   p_partkey = l_partkey   and p_brand = 'Brand#12'   and p_container in ('SM CASE', 'SM BOX', 'SM PACK', 'SM PKG')   and l_quantity >= 1 and l_quantity <= 1 + 10   and p_size between 1 and 5   and l_shipmode in ('AIR', 'AIR REG')   and l_shipinstruct = 'DELIVER IN PERSON'  )  or  (   p_partkey = l_partkey   and p_brand = 'Brand#23'   and p_container in ('MED BAG', 'MED BOX', 'MED PKG', 'MED PACK')   and l_quantity >= 10 and l_quantity <= 10 + 10   and p_size between 1 and 10   and l_shipmode in ('AIR', 'AIR REG')   and l_shipinstruct = 'DELIVER IN PERSON'  )  or  (   p_partkey = l_partkey   and p_brand = 'Brand#34'   and p_container in ('LG CASE', 'LG BOX', 'LG PACK', 'LG PKG')   and l_quantity >= 20 and l_quantity <= 20 + 10   and p_size between 1 and 15   and l_shipmode in ('AIR', 'AIR REG')   and l_shipinstruct = 'DELIVER IN PERSON'  );
20;8;1870.34;119.436;1435648;1012398;3178496;2666496;5334016;33554432;23449600;640000;854016;2075648;0;0;0;5.10204e+06;16;lineitem,part,partsupp,nation,supplier;select  s_name,  s_address from  supplier,  nation where  s_suppkey in (   select    ps_suppkey   from    partsupp,    (     select      l_partkey as temp_l_partkey, l_suppkey as temp_l_suppkey, 0.5 * sum(l_quantity) as temp_l_quantity     from      lineitem     where      l_shipdate >= date '1994-01-01'      and l_shipdate < date '1994-01-01' + NUMTOYMINTERVAL(1,'year')     group by l_partkey, l_suppkey    ) as temp   where       temp_l_partkey = ps_partkey    and temp_l_suppkey = ps_suppkey    and ps_partkey in (     select      p_partkey     from      part     where      p_name like 'forest%'    )    and ps_availqty > temp_l_quantity  )  and s_nationkey = n_nationkey  and n_name = 'CANADA' order by  s_name;
