query_id;dop;execution_time;executor_start_time;query_used_mem;operator_mem;process_used_mem;estimate_work_mem;cstore_buffers;instance_mem;max_dynamic_memory;dynamic_startup_memory;init_used_memory;dynamic_peak_memory;other_memory;io_time;cpu_time;total_costs;operator_num;table_names;query_string;
1;2;299.96;6.26;211968;139201;3748864;20971520;52428800;209715200;98500608;1319936;1330176;1531904;0;0;0;522811;15;movie_info_idx,movie_companies,info_type,title,company_type;SELECT MIN(mc.note) AS production_note,        MIN(t.title) AS movie_title,        MIN(t.production_year) AS movie_year FROM company_type AS ct,      info_type AS it,      movie_companies AS mc,      movie_info_idx AS mi_idx,      title AS t WHERE ct.kind = 'production companies'   AND it.info = 'top 250 rank'   AND mc.note NOT LIKE '%(as Metro-Goldwyn-Mayer Pictures)%'   AND (mc.note LIKE '%(co-production)%'        OR mc.note LIKE '%(presents)%')   AND ct.id = mc.company_type_id   AND t.id = mc.movie_id   AND t.id = mi_idx.movie_id   AND mc.movie_id = mi_idx.movie_id   AND it.id = mi_idx.info_type_id;
2;2;275.232;6.43;124928;44639;3756032;20971520;52428800;209715200;98500608;1319936;1330176;1444864;0;0;0;779106;17;movie_info_idx,movie_companies,info_type,title,company_type;SELECT MIN(mc.note) AS production_note,        MIN(t.title) AS movie_title,        MIN(t.production_year) AS movie_year FROM company_type AS ct,      info_type AS it,      movie_companies AS mc,      movie_info_idx AS mi_idx,      title AS t WHERE ct.kind = 'production companies'   AND it.info = 'bottom 10 rank'   AND mc.note NOT LIKE '%(as Metro-Goldwyn-Mayer Pictures)%'   AND t.production_year BETWEEN 2005 AND 2010   AND ct.id = mc.company_type_id   AND t.id = mc.movie_id   AND t.id = mi_idx.movie_id   AND mc.movie_id = mi_idx.movie_id   AND it.id = mi_idx.info_type_id;
3;2;271.031;5.55;102400;28059;3742720;20971520;52428800;209715200;98500608;1319936;1329152;1422336;0;0;0;410381;15;movie_info_idx,movie_companies,info_type,title,company_type;SELECT MIN(mc.note) AS production_note,        MIN(t.title) AS movie_title,        MIN(t.production_year) AS movie_year FROM company_type AS ct,      info_type AS it,      movie_companies AS mc,      movie_info_idx AS mi_idx,      title AS t WHERE ct.kind = 'production companies'   AND it.info = 'top 250 rank'   AND mc.note NOT LIKE '%(as Metro-Goldwyn-Mayer Pictures)%'   AND (mc.note LIKE '%(co-production)%')   AND t.production_year >2010   AND ct.id = mc.company_type_id   AND t.id = mc.movie_id   AND t.id = mi_idx.movie_id   AND mc.movie_id = mi_idx.movie_id   AND it.id = mi_idx.info_type_id;
4;2;289.529;6.018;157696;77980;3753984;20971520;52428800;209715200;98500608;1319936;1330176;1477632;0;0;0;797947;17;movie_info_idx,movie_companies,info_type,title,company_type;SELECT MIN(mc.note) AS production_note,        MIN(t.title) AS movie_title,        MIN(t.production_year) AS movie_year FROM company_type AS ct,      info_type AS it,      movie_companies AS mc,      movie_info_idx AS mi_idx,      title AS t WHERE ct.kind = 'production companies'   AND it.info = 'bottom 10 rank'   AND mc.note NOT LIKE '%(as Metro-Goldwyn-Mayer Pictures)%'   AND t.production_year >2000   AND ct.id = mc.company_type_id   AND t.id = mc.movie_id   AND t.id = mi_idx.movie_id   AND mc.movie_id = mi_idx.movie_id   AND it.id = mi_idx.info_type_id;
5;2;500.567;6.228;89088;8637;3707904;20971520;52428800;209715200;98500608;1319936;1329152;1409024;0;0;0;325425;17;title,movie_keyword,movie_companies,keyword,company_name;SELECT MIN(t.title) AS movie_title FROM company_name AS cn,      keyword AS k,      movie_companies AS mc,      movie_keyword AS mk,      title AS t WHERE cn.country_code ='[de]'   AND k.keyword ='character-name-in-title'   AND cn.id = mc.company_id   AND mc.movie_id = t.id   AND t.id = mk.movie_id   AND mk.keyword_id = k.id   AND mc.movie_id = mk.movie_id;
6;2;586.719;32.976;89088;8590;3706880;20971520;52428800;209715200;98500608;1319936;1338368;1409024;0;0;0;322945;17;title,movie_keyword,movie_companies,keyword,company_name;SELECT MIN(t.title) AS movie_title FROM company_name AS cn,      keyword AS k,      movie_companies AS mc,      movie_keyword AS mk,      title AS t WHERE cn.country_code ='[nl]'   AND k.keyword ='character-name-in-title'   AND cn.id = mc.company_id   AND mc.movie_id = t.id   AND t.id = mk.movie_id   AND mk.keyword_id = k.id   AND mc.movie_id = mk.movie_id;
7;2;426.389;5.859;59392;5290;3608576;20971520;52428800;209715200;98500608;1319936;1329152;1379328;0;0;0;158893;14;title,movie_keyword,movie_companies,keyword,company_name;SELECT MIN(t.title) AS movie_title FROM company_name AS cn,      keyword AS k,      movie_companies AS mc,      movie_keyword AS mk,      title AS t WHERE cn.country_code ='[sm]'   AND k.keyword ='character-name-in-title'   AND cn.id = mc.company_id   AND mc.movie_id = t.id   AND t.id = mk.movie_id   AND mk.keyword_id = k.id   AND mc.movie_id = mk.movie_id;
8;2;502.459;6.021;84992;16447;3703808;20971520;52428800;209715200;98500608;1319936;1329152;1404928;0;0;0;369354;16;title,movie_keyword,movie_companies,keyword,company_name;SELECT MIN(t.title) AS movie_title FROM company_name AS cn,      keyword AS k,      movie_companies AS mc,      movie_keyword AS mk,      title AS t WHERE cn.country_code ='[us]'   AND k.keyword ='character-name-in-title'   AND cn.id = mc.company_id   AND mc.movie_id = t.id   AND t.id = mk.movie_id   AND mk.keyword_id = k.id   AND mc.movie_id = mk.movie_id;
9;2;1987.43;92.788;75776;18447;4484096;20971520;52428800;209715200;98500608;1319936;1328128;1395712;0;0;0;948583;17;title,movie_keyword,movie_info,keyword;SELECT MIN(t.title) AS movie_title FROM keyword AS k,      movie_info AS mi,      movie_keyword AS mk,      title AS t WHERE k.keyword LIKE '%sequel%'   AND mi.info IN ('Sweden',                   'Norway',                   'Germany',                   'Denmark',                   'Swedish',                   'Denish',                   'Norwegian',                   'German')   AND t.production_year > 2005   AND t.id = mi.movie_id   AND t.id = mk.movie_id   AND mk.movie_id = mi.movie_id   AND k.id = mk.keyword_id;
10;2;907.859;4.973;66560;16785;4396032;20971520;52428800;209715200;98500608;1319936;1328128;1386496;0;0;0;686749;12;title,movie_keyword,movie_info,keyword;SELECT MIN(t.title) AS movie_title FROM keyword AS k,      movie_info AS mi,      movie_keyword AS mk,      title AS t WHERE k.keyword LIKE '%sequel%'   AND mi.info IN ('Bulgaria')   AND t.production_year > 2010   AND t.id = mi.movie_id   AND t.id = mk.movie_id   AND mk.movie_id = mi.movie_id   AND k.id = mk.keyword_id;
