query_id;plan_id;dop;query_dop;operator_type;execution_time;total_time;start_time;estimate_costs;estimate_rows;actual_rows;l_input_rows;r_input_rows;nloops;peak_mem;cstore_buffers;instance_mem;width;table_names;index_names;filter;join_names;predicate_cost;agg_col;agg_width;disk_ratio;agg_groups;build_time;hash_time;hash_table_size;jointype;hash_width;stream_data_send_time;stream_quota_time;stream_poll_time;stream_data_copy_time;up_dop;down_dop;child_plan;is_executed
1;0;1;2;Row Adapter;0.011;290.422;290.421;0;1;1;1;0;1;30;52428800;209715200;113;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;1;1
1;1;1;2;Vector Aggregate;0.198;290.411;290.41;0.01;1;1;142;0;1;421;52428800;209715200;113;none;;;;0;0;68;0;1;0;0;0;none;0;0;0;0;0;0;0;2;1
1;5;2;2;CStore Scan;12.603;12.603;1.154;3262.02;1380035;1380035;1380035;0;1;740;52428800;209715200;8;movie_info_idx;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;;1
1;11;2;2;CStore Scan;225.655;225.655;27.499;18512.8;23791;28889;2609129;0;1;1258;52428800;209715200;32;movie_companies;;((note !~~ '%(as Metro-Goldwyn-Mayer Pictures)%'::text) AND ((note ~~ '%(co-production)%'::text) OR (note ~~ '%(presents)%'::text)));;0;0;0;0;0;0;0;0;none;0;6.378;3.688;0;1.229;0;0;;1
1;10;1;2;Vector Streaming LOCAL GATHER;7.206;211.113;26.146;19237.7;23791;28889;28889;0;1;80;52428800;209715200;32;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;203.878;4.516;1;2;11;1
1;12;1;2;CStore Scan;0.207;0.207;0.197;4.014;1;1;4;0;1;352;52428800;209715200;4;company_type;;((kind)::text = 'production companies'::text);;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;;1
1;9;1;2;Vector Sonic Hash Join;2.568;213.888;179.264;19445.9;11896;28657;28889;1;1;362;52428800;209715200;28;none;;;(mc.company_type_id = ct.id);0;0;0;0;0;0.002;213.353;0.0273438;Inner;4;16.272;5.823;0;5.553;0;0;10,12;1
1;8;2;2;Vector Streaming BROADCAST;12.284;57.224;24.814;21170.8;23792;57314;28657;0;1;124;52428800;209715200;28;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;53.109;1.835;2;1;9;1
1;13;2;2;CStore Scan;76.65;76.65;3.789;17056.2;2528312;2528312;2528312;0;1;2194;52428800;209715200;25;title;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;;1
1;7;2;2;Vector Sonic Hash Join;82.131;216.005;178.597;21274.9;11896;28657;57314;2528312;1;126693;52428800;209715200;53;none;;;(mc.movie_id = t.id);0;0;0;0;0;76.6;62.149;120984;Inner;25;17.214;2.973;0;6.779;0;0;8,13;1
1;6;2;2;Vector Streaming BROADCAST;20.793;233.12;178.112;22758.1;23792;57314;28657;0;1;230;52428800;209715200;53;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;222.566;6.552;2;2;7;1
1;4;2;2;Vector Sonic Hash Join;22.616;268.339;241.405;6023.66;34815;62017;1380035;57314;1;5878;52428800;209715200;49;none;;;(mi_idx.movie_id = t.id);0;0;0;0;0;7.477;27.784;4309.74;Inner;53;5.618;0.592;0;3.59;0;0;5,6;1
1;3;1;2;Vector Streaming LOCAL GATHER;11.012;288.248;258.274;7084.43;34815;62017;62017;0;1;106;52428800;209715200;49;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;280.413;5.986;1;2;4;1
1;14;1;2;CStore Scan;0.406;0.406;0.393;113.395;1;1;113;0;1;352;52428800;209715200;4;info_type;;((info)::text = 'top 250 rank'::text);;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;;1
1;2;1;2;Vector Sonic Hash Join;1.559;290.213;286.015;7273.11;8704;142;62017;1;1;381;52428800;209715200;45;none;;;(mi_idx.info_type_id = it.id);0;0;0;0;0;0.01;289.068;0.0273438;Inner;4;0;0;0;0;0;0;3,14;1
2;0;1;2;Row Adapter;0.037;262.921;262.92;0;1;1;1;0;1;30;52428800;209715200;113;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;1;1
2;1;1;2;Vector Aggregate;0.096;262.884;262.884;0.0368982;1;1;2;0;1;421;52428800;209715200;113;none;;;;0;0;0;0;1;0;0;0;none;0;0;0;0;0;0;0;2;1
2;2;1;2;Vector Streaming LOCAL GATHER;0.031;262.788;256.928;0.0368982;1;2;2;0;1;96;52428800;209715200;113;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;262.735;0.022;1;2;3;1
2;3;2;2;Vector Aggregate;0.087;243.695;237.359;0.01;1;2;3;0;1;841;52428800;209715200;113;none;;;;0;0;68;0;2;0;0;0;none;0;0.009;0;0;0.003;0;0;4;1
2;6;2;2;CStore Scan;124.275;124.275;5.931;11990;2609036;1337088;2609129;0;1;1134;52428800;209715200;32;movie_companies;;(note !~~ '%(as Metro-Goldwyn-Mayer Pictures)%'::text);;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;;1
2;8;1;2;CStore Scan;0.137;0.137;0.127;4.014;1;1;4;0;1;352;52428800;209715200;4;company_type;;((kind)::text = 'production companies'::text);;0;0;0;0;0;0;0;0;none;0;0.002;0;0;0.002;0;0;;1
2;7;2;2;Vector Streaming BROADCAST;0.0035;0.037;0.034;1004.07;2;2;1;0;1;72;52428800;209715200;4;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0.0015;2;1;8;1
2;5;2;2;Vector Sonic Hash Join;3.376;127.688;100.489;21782;1304518;140904;1337088;2;1;722;52428800;209715200;28;none;;;(mc.company_type_id = ct.id);0;0;0;0;0;0.001;127.441;0.0546875;Inner;4;0;0;0;0;0;0;6,7;1
2;13;2;2;CStore Scan;9.996;9.996;0.843;3262.02;1380035;1380035;1380035;0;1;740;52428800;209715200;8;movie_info_idx;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;;1
2;15;1;2;CStore Scan;0.409;0.409;0.388;113.395;1;1;113;0;1;352;52428800;209715200;4;info_type;;((info)::text = 'bottom 10 rank'::text);;0;0;0;0;0;0;0;0;none;0;0.003;0;0;0.002;0;0;;1
2;14;2;2;Vector Streaming BROADCAST;0.004;0.028;0.011;1113.46;2;2;1;0;1;72;52428800;209715200;4;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0.001;2;1;15;1
2;12;2;2;Vector Sonic Hash Join;2.597;12.621;11.477;6716.41;345009;10;1380035;2;1;684;52428800;209715200;4;none;;;(mi_idx.info_type_id = it.id);0;0;0;0;0;0.017;12.324;0.0546875;Inner;4;0.003;0;0;0.001;0;0;13,14;1
2;11;2;2;Vector Streaming BROADCAST;0.004;0.021;0.019;21732.4;690018;20;10;0;1;90;52428800;209715200;4;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0.001;2;2;12;1
