query_id,split
1,test
2,train
3,train
4,train
6,test
7,train
8,train
9,train
10,train
11,train
12,test
13,train
15,test
18,train
19,train
20,train
22,train
23,train
24,test
25,train
26,train
27,train
28,test
29,train
30,train
31,train
32,train
33,train
34,train
35,train
36,test
38,train
39,train
40,test
41,train
42,train
43,train
44,train
45,train
46,test
47,train
48,train
49,test
50,train
51,test
52,train
53,train
54,train
56,train
57,test
58,train
59,train
60,train
61,test
62,train
63,train
64,train
65,train
66,train
67,train
68,train
69,test
70,train
71,train
72,test
73,train
74,train
75,train
77,train
79,train
80,train
81,train
82,train
83,train
84,train
85,train
86,train
87,test
88,train
89,train
90,test
91,test
92,train
93,train
94,train
96,train
97,train
98,train
99,train
