Query ID;Query DOP;Query ID (Mapped);Actual Execution Time (s);Predicted Execution Time (s);Actual Memory Usage (MB);Predicted Memory Usage (MB);Execution Time Q-error;Memory Q-error;Time Calculation Duration (s);Memory Calculation Duration (s)
1;8;1;56.804;40.916489205332475;280.576;269.1629765625;0.38829115359675037;0.042401906767626674;0.0015172958374023438;0.0006356239318847656
1;16;2;28.3123;25.15020828792639;569.344;579.21309375;0.12572825146707034;0.017334149038191304;0.0008218288421630859;0.0005254745483398438
1;32;3;15.8672;17.21141272637434;1193.984;1252.37534375;0.08471644186588323;0.04890462832835274;0.0008111000061035156;0.0003666877746582031
1;64;4;10.9018;13.130704758496956;2707.456;2716.64325;0.20445291222522477;0.0033933146097295808;0.0007951259613037109;0.000270843505859375
1;96;5;11.691;11.671526366325095;4850.688;4277.852625;0.0016684736052252624;0.1339072252401401;0.0008046627044677734;0.0003230571746826172
1;128;6;12.3751;10.867730375977233;6604.8;5906.478125;0.13870141896000288;0.11822982498559576;0.0010137557983398438;0.00049591064453125
1;160;7;13.0788;10.326087351175026;8272.896;7587.4565;0.26657847790835665;0.09033850803625687;0.0007798671722412109;0.00034928321838378906
3;8;8;56.0801;54.50330197267185;4249.6;4725.391;0.028930321104559065;0.11196136106927712;0.0015149116516113281;0.0007605552673339844
3;16;9;29.5565;29.863127712186966;5062.656;5726.2115;0.010374290331634839;0.1310686525017699;0.001562356948852539;0.0005908012390136719
3;32;10;15.3978;17.681537830962522;6752.256;7845.674;0.14831585232711975;0.16193373000075817;0.0016069412231445312;0.0007123947143554688
3;64;11;12.842600000000001;11.867705771784065;8414.208;10657.787;0.08214681480676611;0.2666417326502981;0.0016863346099853516;0.0006256103515625
3;96;12;14.036700000000002;10.175958967597278;11753.472;14630.003;0.37939825078857514;0.24473883121515083;0.0016689300537109375;0.0007169246673583984
3;128;13;22.0962;13.68929787063025;23196.672;32312.529;0.6141222295561533;0.39298124317143435;0.001607656478881836;0.0005977153778076172
3;160;14;21.6406;14.082232212504003;26045.44;37293.761;0.5367308018671011;0.4318729497370748;0.0016188621520996094;0.0005211830139160156
4;8;15;54.850199999999994;44.87827854104674;5277.696;5888.492;0.22219928622780616;0.11573156165114473;0.0015358924865722656;0.0007467269897460938
4;16;16;28.3079;24.667644458075998;5684.224;6483.478;0.1475720775897682;0.14060916670419754;0.001546621322631836;0.0007336139678955078
4;32;17;13.6998;19.27670847221577;2291.712;2876.46975;0.4070795538778502;0.2551619706141086;0.0013239383697509766;0.0006899833679199219
4;64;18;9.31061;12.957136495784281;4362.24;5732.533;0.3916528021025776;0.31412599948650244;0.0013151168823242188;0.0004336833953857422
4;96;19;11.325;11.15323272225964;6152.192;8803.92025;0.015400671896458107;0.43102169925776046;0.0012972354888916016;0.0004074573516845703
4;128;20;12.3092;10.453403859421433;9145.344;12024.854375;0.17753032079651043;0.3148608051266306;0.0012862682342529297;0.0004878044128417969
4;160;21;14.8455;10.206458327425956;11339.776;15361.947125;0.4545202188410833;0.35469581806554196;0.0012650489807128906;0.00042629241943359375
5;8;22;23.663700000000002;21.39143537129502;2034.688;2577.742;0.10622310234282417;0.26689792243331656;0.0028569698333740234;0.001081228256225586
5;16;23;14.2585;14.503252911763266;4122.624;5259.37025;0.01716540391789212;0.2757336710793903;0.002801656723022461;0.0009799003601074219
5;32;24;13.4253;12.17784804029949;7581.696;10144.8835;0.1024361574863133;0.3380757418920517;0.002583742141723633;0.0010731220245361328
5;64;25;12.3381;10.17537779889591;7761.92;9807.19;0.21254465866994732;0.26350052564313975;0.002653837203979492;0.0009810924530029297
5;96;26;12.2127;12.24610159423041;12430.336;14918.2875;0.002734988514448755;0.20015158882269946;0.002712249755859375;0.0010645389556884766
5;128;27;16.1049;14.855725821952895;18318.336;20267.4665;0.0840870512163836;0.10640325081928848;0.002794981002807617;0.0010895729064941406
5;160;28;20.028299999999998;17.70595725155361;25828.352;25801.8825;0.13116166019448716;0.0010258747593319129;0.0028007030487060547;0.0012764930725097656
6;8;29;12.1359;10.755272227666527;111.616;99.96933203125;0.1283675339041619;0.11650240860976546;0.0006146430969238281;0.0003485679626464844
6;16;30;6.79636;7.6084455517709255;220.16;217.3864375;0.11948830723665704;0.01275867313479484;0.0005428791046142578;0.00017523765563964844
