query_id;plan_id;dop;query_dop;operator_type;execution_time;total_time;start_time;estimate_costs;estimate_rows;actual_rows;l_input_rows;r_input_rows;nloops;peak_mem;cstore_buffers;instance_mem;width;table_names;index_names;filter;join_names;predicate_cost;agg_col;agg_width;disk_ratio;agg_groups;build_time;hash_time;hash_table_size;jointype;hash_width;stream_data_send_time;stream_quota_time;stream_poll_time;stream_data_copy_time;up_dop;down_dop;child_plan;is_executed
3;0;1;64;Row Adapter;0.012;14192;14192;0;100;100;100;0;1;42;104857600;524288000;102;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;1;1
3;1;1;64;Vector Limit;0.006;14192;14192;0.25;100;100;100;0;1;7;104857600;524288000;102;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;2;1
3;2;1;64;Vector Sort;0.282;14192;14192;7.4;2960;100;642;0;1;344;104857600;524288000;102;none;;;;0;3;0;0;0;0;0;0;none;0;0;0;0;0;0;0;3;1
3;3;1;64;Vector Sonic Hash Aggregate;12.176;14191.7;14191.7;29.6;2960;642;77324;0;1;1064;104857600;524288000;102;none;;;;0;3;32;0;2960;9.059;2.425;664.844;none;0;0;0;0;0;0;0;4;1
3;4;1;64;Vector Sonic Hash Join;16.897;14179.5;716.518;168653;307176;77324;502578;6000;1;509;104857600;524288000;70;none;;;(store_sales.ss_sold_date_sk = dt.d_date_sk);0;0;0;0;0;0.044;14177.7;187.5;Inner;8;0;0;0;0;0;0;5,8;1
3;8;1;64;CStore Scan;1.391;1.391;0.527;2041.67;6073;6000;73049;0;1;808;104857600;524288000;8;date_dim;;(d_moy = 11);;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;;1
3;5;1;64;Vector Nest Loop;36.047;14161.3;714.936;164427;307783;502578;371;502578;1;656;104857600;524288000;70;none;;;;0;0;0;0;0;0;0;0;Inner;0;0;0;0;0;0;0;6,7;1
3;7;1;64;CStore Index Scan;14113.3;14113.3;9951.43;816.717;1729;502578;287997024;0;371;832;104857600;524288000;19;store_sales;(ss_item_sk = $0);;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;;1
3;6;1;64;CStore Scan;11.864;11.864;2.639;15974;178;371;204000;0;1;869;104857600;524288000;59;item;;(i_manufact_id = 211);;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;;1
4;0;1;64;Row Adapter;0.014;6788.79;6788.78;0;100;100;100;0;1;38;104857600;524288000;71;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;1;1
4;1;1;64;Vector Limit;0.003;6788.77;6788.77;0;100;100;100;0;1;3;104857600;524288000;71;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;2;1
4;2;1;64;Vector Sort;1.265;6788.77;6788.77;0;100;100;971;0;1;387;104857600;524288000;71;none;;;;0;4;0;0;0;0;0;0;none;0;0;0;0;0;0;0;3;1
4;3;1;64;Vector Streaming LOCAL GATHER;0.125;6787.51;6786.94;0;100;971;971;0;1;205;104857600;524288000;71;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;6787.27;0.099;1;10;4;1
4;4;10;64;Vector Limit;0.004;6793.58;6785.88;0;100;971;1059;0;1;30;104857600;524288000;71;none;;;;0;0;0;0;0;0;0;0;none;0;0.026;0;0;0.008;0;0;5;1
4;5;10;64;Vector Sort;3.467;6793.58;6785.88;6.91594e+15;2147483647;1059;1059;0;1;3891;104857600;524288000;71;none;;;;0;4;0;0;0;0;0;0;none;0;0;0;0;0;0;0;6;1
4;6;10;64;Vector Sonic Hash Join;20.203;6790.11;6782.13;2.92244e+15;2147483647;1059;1807;1656598;1;322340;104857600;524288000;71;none;;(CASE WHEN ("*SELECT* 2".year_total > 0::numeric) THEN ("*SELECT* 2".year_total / "*SELECT* 2".year_total) ELSE NULL::numeric END > CASE WHEN ("*SELECT* 1".year_total > 0::numeric) THEN ("*SELECT* 1".year_total / "*SELECT* 1".year_total) ELSE NULL::numeric END);("*SELECT* 2".customer_id = "*SELECT* 1".customer_id);0;0;0;0;0;20.203;1.14;284728;Inner;152;0;0;0;0;0;0;7,67;1
4;67;10;64;Vector Streaming LOCAL REDISTRIBUTE;111.117;6772.09;6385.7;302382;99862997;1656598;1656598;0;1;3950;104857600;524288000;152;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;6757.39;10.1703;10;10;68;1
4;68;10;64;Vector Sonic Hash Join;204.284;6830.63;6485.89;81395.4;99862997;1656598;18188810;1821441;1;250275;104857600;524288000;152;none;;;("*SELECT* 1".customer_id = "*SELECT* 1".customer_id);0;0;0;0;0;15.152;2730.91;225901;Inner;103;115.135;14.188;0;59.926;0;0;69,83;1
4;83;10;64;Vector Append;5.741;4082.58;4018.32;20298.9;1998659;1821441;0;0;1;10;104857600;524288000;103;none;;;;0;0;0;0;1.82144e+06;0;0;nan;none;0;0;0;0;0;0;0;84;1
4;84;10;64;Vector Subquery Scan;0.175;4076.84;4018.32;20298.9;1998659;1821441;1998659;0;1;840;104857600;524288000;103;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;85;1
4;85;10;64;Vector Sonic Hash Aggregate;137.85;4076.67;4018.32;312.29;1998659;1821441;1998659;0;1;615578;104857600;524288000;267;none;;;;0;8;0;0;1.82144e+06;113.43;5.26;5.99938e+07;none;0;0;0;0;0;0;0;86;1
4;86;10;64;Vector Streaming LOCAL REDISTRIBUTE;107.33;3938.82;3833.64;300853;1998659;1821441;1998659;0;1;5880;104857600;524288000;267;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;3892.54;17.7956;10;24;87;1
4;87;24;64;Vector Sonic Hash Aggregate;1814.62;3890.82;3832.15;312.29;1998659;1821441;52852087;0;1;597218;104857600;524288000;267;none;;;;0;8;32;0;1.82144e+06;1545.45;508.795;5.99938e+07;none;0;165.946;76.412;0;52.768;0;0;88;1
4;88;24;64;Vector Sonic Hash Join;688.407;2076.2;343.993;316512;52852087;53992215;55248009;2000000;1;382419;104857600;524288000;235;none;;;(public.store_sales.ss_customer_sk = public.customer.c_customer_sk);0;0;0;0;0;25.519;1686.64;419922;Inner;191;0;0;0;0;0;0;89,94;1
4;94;24;64;Vector Streaming LOCAL REDISTRIBUTE;265.562;374.775;0.178;234576;2000000;2000000;2000000;0;1;9696;104857600;524288000;191;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;332.603;10.3576;24;10;95;1
4;95;10;64;CStore Scan;27.844;27.844;0.311;49056;2000000;2000000;2000000;0;1;15160;104857600;524288000;191;customer;;;;0;0;0;0;0;0;0;0;none;0;333.765;78.561;0;210.976;0;0;;1
4;89;24;64;Vector Streaming LOCAL REDISTRIBUTE;443.497;1013.02;0.108;305017;55248009;55293752;55248009;0;1;19008;104857600;524288000;52;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;558.951;116.703;24;78;90;1
4;90;78;64;Vector Sonic Hash Join;84.147;592.219;22.093;189682;55248009;55293752;287997024;23360;1;40794;104857600;524288000;52;none;;;(public.store_sales.ss_sold_date_sk = public.date_dim.d_date_sk);0;0;0;0;0;0.008;587.9;730;Inner;8;3237.68;2910.88;0;296.869;0;0;91,92;1
4;92;78;64;Vector Streaming BROADCAST;0.801013;2.748;0.012;65523.6;23360;28548;365;0;1;9438;104857600;524288000;8;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;0.540769;0.00401282;78;10;93;1
4;93;10;64;CStore Scan;0.794;0.794;0.015;2041.67;365;366;73049;0;1;6793;104857600;524288000;8;date_dim;;(d_year = 2000);;0;0;0;0;0;0;0;0;none;0;0.797;0;0;0.692;0;0;;1
4;91;78;64;CStore Scan;505.324;505.324;21.93;164175;287997024;287997024;287997024;0;1;91182;104857600;524288000;52;store_sales;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;;1
4;69;10;64;Vector Streaming LOCAL BROADCAST;78.924;2543.77;2431.84;63818.2;639552;18188810;1818881;0;1;1860;104857600;524288000;49;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;2482.35;35.174;10;10;70;1
4;70;10;64;Vector Append;5.071;6552.27;6493.64;412.22;9993;1818881;0;0;1;10;104857600;524288000;49;none;;;;0;0;0;0;1.81888e+06;0;0;nan;none;0;371.579;327.829;0;51.981;0;0;71;1
4;71;10;64;Vector Subquery Scan;0.184;6547.2;6493.64;412.22;9993;1818881;9993;0;1;530;104857600;524288000;49;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;72;1
4;72;10;64;Vector Sonic Hash Aggregate;139.731;6547.01;6493.63;312.29;9993;1818881;1998659;0;1;747176;104857600;524288000;299;none;;;;0;8;0;0;1.81888e+06;106.828;9.316;6.7185e+07;none;0;0;0;0;0;0;0;73;1
4;73;10;64;Vector Streaming LOCAL REDISTRIBUTE;42.8299;6407.28;6339.62;337079;1998659;1818881;1998659;0;1;8380;104857600;524288000;299;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;6365.68;15.7959;10;54;74;1
4;74;54;64;Vector Sonic Hash Aggregate;712.417;6386.04;6334.51;5308.94;1998659;1818881;52852087;0;1;685600;104857600;524288000;299;none;;;;0;8;64;0;1.81888e+06;599.181;219.049;6.7185e+07;none;0;137.205;110.171;0;13.511;0;0;75;1
4;75;54;64;Vector Sonic Hash Join;215.048;5673.62;405.009;316512;52852087;53723712;55248009;2000000;1;434702;104857600;524288000;235;none;;;(public.store_sales.ss_customer_sk = public.customer.c_customer_sk);0;0;0;0;0;7.077;5275.67;419922;Inner;191;0;0;0;0;0;0;76,81;1
4;81;54;64;Vector Streaming LOCAL REDISTRIBUTE;347.391;429.904;100.725;234576;2000000;2000000;2000000;0;1;22734;104857600;524288000;191;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;384.574;4.54396;54;12;82;1
