query_id;plan_id;dop;query_dop;operator_type;execution_time;total_time;start_time;estimate_costs;estimate_rows;actual_rows;l_input_rows;r_input_rows;nloops;peak_mem;cstore_buffers;instance_mem;width;table_names;index_names;filter;join_names;predicate_cost;agg_col;agg_width;disk_ratio;agg_groups;build_time;hash_time;hash_table_size;jointype;hash_width;stream_data_send_time;stream_quota_time;stream_poll_time;stream_data_copy_time;up_dop;down_dop;child_plan;is_executed
3;0;1;64;Row Adapter;0.012;1714.22;1714.21;0;100;100;100;0;1;38;104857600;524288000;102;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;1;1
3;1;1;64;Vector Limit;0.006;1714.2;1714.2;0.25;100;100;100;0;1;3;104857600;524288000;102;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;2;1
3;2;1;64;Vector Sort;0.675;1714.2;1714.2;18.0825;7233;100;736;0;1;340;104857600;524288000;102;none;;;;0;3;0;0;0;0;0;0;none;0;0;0;0;0;0;0;3;1
3;3;1;64;Vector Sonic Hash Aggregate;86.7;1713.52;1713.52;72.33;7233;736;86315;0;1;1099;104857600;524288000;102;none;;;;0;3;32;0;7233;48.727;19.023;1624.6;none;0;0;0;0;0;0;0;4;1
3;4;1;64;Vector Sonic Hash Join;116.051;1626.82;73.574;207012;750683;86315;566727;6000;1;505;104857600;524288000;70;none;;;(store_sales.ss_sold_date_sk = dt.d_date_sk);0;0;0;0;0;0.124;1613.54;187.5;Inner;8;0;0;0;0;0;0;5,10;1
3;10;1;64;CStore Scan;5.338;5.338;1.951;2041.67;6073;6000;73049;0;1;804;104857600;524288000;8;date_dim;;(d_moy = 11);;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;;1
3;5;1;64;Vector Streaming LOCAL GATHER;543.408;1505.43;67.849;196684;752167;566727;566727;0;1;356;104857600;524288000;70;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;763.954;502.012;1;32;6;1
3;6;32;64;Vector Sonic Hash Join;196.671;1632.73;70.702;181167;752167;566727;287997024;12544;1;17056;104857600;524288000;70;none;;;(store_sales.ss_item_sk = item.i_item_sk);0;0;0;0;0;0.083;1617.52;1016.75;Inner;59;83.59;42.194;0;18.123;0;0;7,8;1
3;8;32;64;Vector Streaming BROADCAST;4.57341;15.711;0.044;79548.3;27840;12544;392;0;1;4160;104857600;524288000;59;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;14.6936;0.133406;32;8;9;1
3;9;8;64;CStore Scan;10.474;10.474;0.045;15974;435;392;204000;0;1;6768;104857600;524288000;59;item;;(i_manufact_id = 55);;0;0;0;0;0;0;0;0;none;0;5.311;0.871;0;0.839;0;0;;1
3;7;32;64;CStore Scan;1420.35;1420.35;56.005;164175;287997024;287997024;287997024;0;1;23968;104857600;524288000;19;store_sales;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;;1
4;0;1;64;Row Adapter;0.023;18961.1;18961.1;0;100;100;100;0;1;38;104857600;524288000;125;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;1;1
4;1;1;64;Vector Limit;0.018;18961.1;18961.1;0;100;100;100;0;1;3;104857600;524288000;125;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;2;1
4;2;1;64;Vector Sort;11.345;18961.1;18961.1;0;100;100;800;0;1;368;104857600;524288000;125;none;;;;0;4;0;0;0;0;0;0;none;0;0;0;0;0;0;0;3;1
4;3;1;64;Vector Streaming LOCAL GATHER;0.566;18949.7;18948;0;100;800;800;0;1;172;104857600;524288000;125;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;18949.1;0.42;1;8;4;1
4;4;8;64;Vector Limit;0.011;19007.3;18972.3;0;100;800;800;0;1;24;104857600;524288000;125;none;;;;0;0;0;0;0;0;0;0;none;0;0.146;0;0;0.126;0;0;5;1
4;5;8;64;Vector Sort;20.871;19007.2;18972.3;6.91594e+15;2147483647;800;8803;0;1;2937;104857600;524288000;125;none;;;;0;4;0;0;0;0;0;0;none;0;0;0;0;0;0;0;6;1
4;6;8;64;Vector Sonic Hash Join;73.791;18986.4;18560.3;2.92244e+15;2147483647;8803;15373;1652419;1;313136;104857600;524288000;125;none;;(CASE WHEN ("*SELECT* 2".year_total > 0::numeric) THEN ("*SELECT* 2".year_total / "*SELECT* 2".year_total) ELSE NULL::numeric END > CASE WHEN ("*SELECT* 1".year_total > 0::numeric) THEN ("*SELECT* 1".year_total / "*SELECT* 1".year_total) ELSE NULL::numeric END);("*SELECT* 2".customer_id = "*SELECT* 1".customer_id);0;0;0;0;0;72.788;422.18;371149;Inner;206;0;0;0;0;0;0;7,67;1
4;67;8;64;Vector Streaming LOCAL REDISTRIBUTE;1040.46;18493.2;14675.7;302382;99862997;1652419;1652419;0;1;2424;104857600;524288000;206;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;18389.2;83.7812;8;1;68;1
4;68;1;64;Vector Sonic Hash Join;2198.85;18266.7;16420.6;81395.4;99862997;1652419;1816438;1819593;1;237144;104857600;524288000;206;none;;;("*SELECT* 1".customer_id = "*SELECT* 1".customer_id);0;0;0;0;0;559.001;1846.34;321627;Inner;157;1649.86;693.18;0;827.986;0;0;69,83;1
4;83;1;64;Vector Append;101.243;15821.6;15320.6;20298.9;1998659;1819593;0;0;1;1;104857600;524288000;157;none;;;;0;0;0;0;1.81959e+06;0;0;nan;none;0;0;0;0;0;0;0;84;1
