query_id;dop;execution_time;executor_start_time;query_used_mem;operator_mem;process_used_mem;estimate_work_mem;cstore_buffers;instance_mem;max_dynamic_memory;dynamic_startup_memory;init_used_memory;dynamic_peak_memory;other_memory;io_time;cpu_time;total_costs;operator_num;table_names;query_string;
3;64;1722.54;4.441;800768;55097;19946496;52428800;104857600;524288000;300350464;1747968;2470912;2548736;82944;0;0;2.27328e+06;11;item,store_sales,date_dim;select  dt.d_year         ,item.i_brand_id brand_id         ,item.i_brand brand        ,sum(ss_sales_price) sum_agg  from  date_dim dt        ,store_sales       ,item  where dt.d_date_sk = store_sales.ss_sold_date_sk    and store_sales.ss_item_sk = item.i_item_sk    and item.i_manufact_id = 55    and dt.d_moy=11  group by dt.d_year       ,item.i_brand       ,item.i_brand_id  order by dt.d_year          ,sum_agg desc          ,brand_id  limit 100;
4;64;21242.6;2004.81;24111104;11398929;72540160;52428800;104857600;524288000;300350464;1747968;22446080;25859072;998400;0;0;6.6175e+17;96;store_sales,date_dim,web_sales,catalog_sales,customer;with year_total as (  select c_customer_id customer_id        ,c_first_name customer_first_name        ,c_last_name customer_last_name        ,c_preferred_cust_flag customer_preferred_cust_flag        ,c_birth_country customer_birth_country        ,c_login customer_login        ,c_email_address customer_email_address        ,d_year dyear        ,sum(((ss_ext_list_price-ss_ext_wholesale_cost-ss_ext_discount_amt)+ss_ext_sales_price)/2) year_total        ,'s' sale_type  from customer      ,store_sales      ,date_dim  where c_customer_sk = ss_customer_sk    and ss_sold_date_sk = d_date_sk  group by c_customer_id          ,c_first_name          ,c_last_name          ,c_preferred_cust_flag          ,c_birth_country          ,c_login          ,c_email_address          ,d_year  union all  select c_customer_id customer_id        ,c_first_name customer_first_name        ,c_last_name customer_last_name        ,c_preferred_cust_flag customer_preferred_cust_flag        ,c_birth_country customer_birth_country        ,c_login customer_login        ,c_email_address customer_email_address        ,d_year dyear        ,sum((((cs_ext_list_price-cs_ext_wholesale_cost-cs_ext_discount_amt)+cs_ext_sales_price)/2) ) year_total        ,'c' sale_type  from customer      ,catalog_sales      ,date_dim  where c_customer_sk = cs_bill_customer_sk    and cs_sold_date_sk = d_date_sk  group by c_customer_id          ,c_first_name          ,c_last_name          ,c_preferred_cust_flag          ,c_birth_country          ,c_login          ,c_email_address          ,d_year union all  select c_customer_id customer_id        ,c_first_name customer_first_name        ,c_last_name customer_last_name        ,c_preferred_cust_flag customer_preferred_cust_flag        ,c_birth_country customer_birth_country        ,c_login customer_login        ,c_email_address customer_email_address        ,d_year dyear        ,sum((((ws_ext_list_price-ws_ext_wholesale_cost-ws_ext_discount_amt)+ws_ext_sales_price)/2) ) year_total        ,'w' sale_type  from customer      ,web_sales      ,date_dim  where c_customer_sk = ws_bill_customer_sk    and ws_sold_date_sk = d_date_sk  group by c_customer_id          ,c_first_name          ,c_last_name          ,c_preferred_cust_flag          ,c_birth_country          ,c_login          ,c_email_address          ,d_year          )   select                     t_s_secyear.customer_id                  ,t_s_secyear.customer_first_name                  ,t_s_secyear.customer_last_name                  ,t_s_secyear.customer_login  from year_total t_s_firstyear      ,year_total t_s_secyear      ,year_total t_c_firstyear      ,year_total t_c_secyear      ,year_total t_w_firstyear      ,year_total t_w_secyear  where t_s_secyear.customer_id = t_s_firstyear.customer_id    and t_s_firstyear.customer_id = t_c_secyear.customer_id    and t_s_firstyear.customer_id = t_c_firstyear.customer_id    and t_s_firstyear.customer_id = t_w_firstyear.customer_id    and t_s_firstyear.customer_id = t_w_secyear.customer_id    and t_s_firstyear.sale_type = 's'    and t_c_firstyear.sale_type = 'c'    and t_w_firstyear.sale_type = 'w'    and t_s_secyear.sale_type = 's'    and t_c_secyear.sale_type = 'c'    and t_w_secyear.sale_type = 'w'    and t_s_firstyear.dyear =  2001    and t_s_secyear.dyear = 2001+1    and t_c_firstyear.dyear =  2001    and t_c_secyear.dyear =  2001+1    and t_w_firstyear.dyear = 2001    and t_w_secyear.dyear = 2001+1    and t_s_firstyear.year_total > 0    and t_c_firstyear.year_total > 0    and t_w_firstyear.year_total > 0    and case when t_c_firstyear.year_total > 0 then t_c_secyear.year_total / t_c_firstyear.year_total else null end            > case when t_s_firstyear.year_total > 0 then t_s_secyear.year_total / t_s_firstyear.year_total else null end    and case when t_c_firstyear.year_total > 0 then t_c_secyear.year_total / t_c_firstyear.year_total else null end            > case when t_w_firstyear.year_total > 0 then t_w_secyear.year_total / t_w_firstyear.year_total else null end  order by t_s_secyear.customer_id          ,t_s_secyear.customer_first_name          ,t_s_secyear.customer_last_name          ,t_s_secyear.customer_login limit 100;
6;64;2115.95;2.802;769024;79755;17286144;52428800;104857600;524288000;300350464;1747968;2439168;2516992;111616;0;0;4.68716e+06;22;item,date_dim,store_sales,customer,customer_address;select  a.ca_state state, count(*) cnt  from customer_address a      ,customer c      ,store_sales s      ,date_dim d      ,item i  where       a.ca_address_sk = c.c_current_addr_sk   and c.c_customer_sk = s.ss_customer_sk   and s.ss_sold_date_sk = d.d_date_sk   and s.ss_item_sk = i.i_item_sk   and d.d_month_seq =         (select distinct (d_month_seq)         from date_dim                where d_year = 2001           and d_moy = 3 )   and i.i_current_price > 1.2 *               (select avg(j.i_current_price)         from item j         where j.i_category = i.i_category)  group by a.ca_state  having count(*) >= 10  order by cnt, a.ca_state   limit 100;
7;64;7253.75;54.537;2664448;369280;38372352;52428800;104857600;524288000;300350464;1747968;4308992;4412416;295936;0;0;7.72362e+06;23;promotion,item,date_dim,customer_demographics,store_sales;select  i_item_id,          avg(ss_quantity) agg1,         avg(ss_list_price) agg2,         avg(ss_coupon_amt) agg3,         avg(ss_sales_price) agg4   from store_sales, customer_demographics, date_dim, item, promotion  where ss_sold_date_sk = d_date_sk and        ss_item_sk = i_item_sk and        ss_cdemo_sk = cd_demo_sk and        ss_promo_sk = p_promo_sk and        cd_gender = 'M' and         cd_marital_status = 'M' and        cd_education_status = '4 yr Degree' and        (p_channel_email = 'N' or p_channel_event = 'N') and        d_year = 2001   group by i_item_id  order by i_item_id  limit 100;
8;64;2149.67;28.904;2372608;339364;22466560;52428800;104857600;524288000;300350464;1747968;3988480;4120576;141312;0;0;6.33996e+06;27;customer,customer_address,date_dim,store,store_sales;select  s_store_name       ,sum(ss_net_profit)  from store_sales      ,date_dim      ,store,      (select ca_zip      from (       SELECT substr(ca_zip,1,5) ca_zip       FROM customer_address       WHERE substr(ca_zip,1,5) IN (                           '31133','52908','97884','97644','93783','20034',                           '17024','46840','91575','19744','58977',                           '55184','73486','87417','73172','44184',                           '65439','16179','38102','18301','17839',                           '58830','89901','20746','59705','18569',                           '47351','96216','46324','45262','85427',                           '75357','20699','44728','45344','71644',                           '87558','20832','52595','36428','35480',                           '31386','39130','45235','32986','13224',                           '85608','24749','63790','20579','57621',                           '94618','49699','67828','71103','71402',                           '64581','62381','60671','79654','36167',                           '61101','10828','32675','20956','74689',                           '97450','79993','53474','50476','52567',                           '44703','58398','25520','78811','29036',                           '91116','23410','91309','36777','47058',                           '74899','62068','62589','99157','75796',                           '37323','68877','43726','98320','35622',                           '39877','64526','51296','81303','82304',                           '97475','24357','78527','38751','25114',                           '29734','36980','73650','42892','38110',                           '25110','10424','89627','18764','88965',                           '19932','15444','30861','35730','36501',                           '58733','22550','11486','68560','88920',                           '33414','35696','69800','18079','15809',                           '20333','66160','13878','53902','53600',                           '92398','23562','64634','81688','74397',                           '47201','18820','19901','69959','45226',                           '61358','20185','68627','89647','53003',                           '61608','31301','39164','19531','25580',                           '23064','47686','56593','87179','31918',                           '58997','35290','68034','69979','49710',                           '95816','30808','61399','30247','76693',                           '60574','99827','77454','31142','34106',                           '81614','74515','23618','68894','97613',                           '54246','30317','35955','83123','15025',                           '21508','43949','30895','51793','95391',                           '46725','14174','94296','21462','75749',                           '85076','31236','51114','43786','28067',                           '39666','82673','44955','74685','85389',                           '70798','13188','31602','61768','31941',                           '28477','75171','11666','19407','97683',                           '27968','40222','24549','56783','14687',                           '42240','48867','60743','76142','83885',                           '89917','14230','25482','39697','77931',                           '28801','47826','18161','53924','21438',                           '20453','50576','40464','43324','29470',                           '18003','79785','59447','56713','59547',                           '57921','94255','14438','53245','27165',                           '44644','58122','42650','26172','50013',                           '41100','55608','67439','67914','54784',                           '68089','32330','87996','94180','13091',                           '52406','19669','56683','74270','10206',                           '99094','96381','82679','44204','89012',                           '80897','42190','61636','73630','12727',                           '88362','42771','55804','52520','16581',                           '67793','56685','11734','91213','22939',                           '41507','27682','62687','75524','18589',                           '28073','34716','17168','69269','46413',                           '28986','21537','18260','39808','68943',                           '83368','65165','72648','99140','85957',                           '14108','24194','49672','89137','11000',                           '12413','20144','99799','61679','66884',                           '73582','19898','76741','26731','93072',                           '92467','50908','56391','65803','38412',                           '17712','47457','16536','85150','13888',                           '87099','36719','25000','63629','13505',                           '49104','56990','81822','29354','28635',                           '82170','37642','10324','35753','71087',                           '87326','12037','72450','90992','13068',                           '63305','75080','79055','23995','70973',                           '12778','53878','40241','69284','12215',                           '20345','98834','80990','55936','72521',                           '20729','19530','53267','64542','63333',                           '15412','47927','64410','69675','24812',                           '52014','87377','91546','58463','97692',                           '13763','56701','71759','32074','94470',                           '64570','72046','88422','65036','61016',                           '24349','76678','15934','97436','86914',                           '83246','72486','55156','97779')      intersect       select ca_zip       from (SELECT substr(ca_zip,1,5) ca_zip,count(*) cnt             FROM customer_address, customer             WHERE ca_address_sk = c_current_addr_sk and                   c_preferred_cust_flag='Y'             group by ca_zip             having count(*) > 10)A1)A2) V1  where ss_store_sk = s_store_sk   and ss_sold_date_sk = d_date_sk   and d_qoy = 1 and d_year = 2002   and (substr(s_zip,1,2) = substr(V1.ca_zip,1,2))  group by s_store_name  order by s_store_name  limit 100;
10;64;3006.01;11.168;3556352;303852;22049792;52428800;104857600;524288000;300350464;1747968;5157888;5304320;0;0;0;7.5257e+06;35;web_sales,date_dim,store_sales,customer_demographics,customer_address,catalog_sales,customer;select     cd_gender,   cd_marital_status,   cd_education_status,   count(*) cnt1,   cd_purchase_estimate,   count(*) cnt2,   cd_credit_rating,   count(*) cnt3,   cd_dep_count,   count(*) cnt4,   cd_dep_employed_count,   count(*) cnt5,   cd_dep_college_count,   count(*) cnt6  from   customer c,customer_address ca,customer_demographics  where   c.c_current_addr_sk = ca.ca_address_sk and   ca_county in ('Greer County','Boone County','Cumberland County','Tyler County','Marion County') and   cd_demo_sk = c.c_current_cdemo_sk and    exists (select *           from store_sales,date_dim           where c.c_customer_sk = ss_customer_sk and                 ss_sold_date_sk = d_date_sk and                 d_year = 1999 and                 d_moy between 1 and 1+3) and    (exists (select *             from web_sales,date_dim             where c.c_customer_sk = ws_bill_customer_sk and                   ws_sold_date_sk = d_date_sk and                   d_year = 1999 and                   d_moy between 1 ANd 1+3) or      exists (select *              from catalog_sales,date_dim             where c.c_customer_sk = cs_ship_customer_sk and                   cs_sold_date_sk = d_date_sk and                   d_year = 1999 and                   d_moy between 1 and 1+3))  group by cd_gender,           cd_marital_status,           cd_education_status,           cd_purchase_estimate,           cd_credit_rating,           cd_dep_count,           cd_dep_employed_count,           cd_dep_college_count  order by cd_gender,           cd_marital_status,           cd_education_status,           cd_purchase_estimate,           cd_credit_rating,           cd_dep_count,           cd_dep_employed_count,           cd_dep_college_count limit 100;
11;64;12758.7;440.847;16041984;6537144;41038848;52428800;104857600;524288000;300350464;1747968;14437376;17789952;0;0;0;3.97599e+12;65;store_sales,date_dim,web_sales,customer;with year_total as (  select c_customer_id customer_id        ,c_first_name customer_first_name        ,c_last_name customer_last_name        ,c_preferred_cust_flag customer_preferred_cust_flag        ,c_birth_country customer_birth_country        ,c_login customer_login        ,c_email_address customer_email_address        ,d_year dyear        ,sum(ss_ext_list_price-ss_ext_discount_amt) year_total        ,'s' sale_type  from customer      ,store_sales      ,date_dim  where c_customer_sk = ss_customer_sk    and ss_sold_date_sk = d_date_sk  group by c_customer_id          ,c_first_name          ,c_last_name          ,c_preferred_cust_flag           ,c_birth_country          ,c_login          ,c_email_address          ,d_year   union all  select c_customer_id customer_id        ,c_first_name customer_first_name        ,c_last_name customer_last_name        ,c_preferred_cust_flag customer_preferred_cust_flag        ,c_birth_country customer_birth_country        ,c_login customer_login        ,c_email_address customer_email_address        ,d_year dyear        ,sum(ws_ext_list_price-ws_ext_discount_amt) year_total        ,'w' sale_type  from customer      ,web_sales      ,date_dim  where c_customer_sk = ws_bill_customer_sk    and ws_sold_date_sk = d_date_sk  group by c_customer_id          ,c_first_name          ,c_last_name          ,c_preferred_cust_flag           ,c_birth_country          ,c_login          ,c_email_address          ,d_year          )   select                     t_s_secyear.customer_id                  ,t_s_secyear.customer_first_name                  ,t_s_secyear.customer_last_name                  ,t_s_secyear.customer_birth_country  from year_total t_s_firstyear      ,year_total t_s_secyear      ,year_total t_w_firstyear      ,year_total t_w_secyear  where t_s_secyear.customer_id = t_s_firstyear.customer_id          and t_s_firstyear.customer_id = t_w_secyear.customer_id          and t_s_firstyear.customer_id = t_w_firstyear.customer_id          and t_s_firstyear.sale_type = 's'          and t_w_firstyear.sale_type = 'w'          and t_s_secyear.sale_type = 's'          and t_w_secyear.sale_type = 'w'          and t_s_firstyear.dyear = 1998          and t_s_secyear.dyear = 1998+1          and t_w_firstyear.dyear = 1998          and t_w_secyear.dyear = 1998+1          and t_s_firstyear.year_total > 0          and t_w_firstyear.year_total > 0          and case when t_w_firstyear.year_total > 0 then t_w_secyear.year_total / t_w_firstyear.year_total else 0.0 end              > case when t_s_firstyear.year_total > 0 then t_s_secyear.year_total / t_s_firstyear.year_total else 0.0 end  order by t_s_secyear.customer_id          ,t_s_secyear.customer_first_name          ,t_s_secyear.customer_last_name          ,t_s_secyear.customer_birth_country limit 100;
12;64;1497.01;2.318;738304;67363;13716480;52428800;104857600;524288000;300350464;1747968;2430976;2486272;2048;0;0;2.13426e+06;13;date_dim,item,web_sales;select  i_item_id       ,i_item_desc        ,i_category        ,i_class        ,i_current_price       ,sum(ws_ext_sales_price) as itemrevenue        ,sum(ws_ext_sales_price)*100/sum(sum(ws_ext_sales_price)) over           (partition by i_class) as revenueratio from   web_sales      ,item       ,date_dim where   ws_item_sk = i_item_sk     and i_category in ('Home', 'Children', 'Shoes')    and ws_sold_date_sk = d_date_sk  and d_date between cast('2000-03-01' as date)      and (cast('2000-03-01' as date) + 30 ) group by   i_item_id         ,i_item_desc          ,i_category         ,i_class         ,i_current_price order by   i_category         ,i_class         ,i_item_id         ,i_item_desc         ,revenueratio limit 100;
13;64;8613.5;157.172;2743296;283433;46475264;52428800;104857600;524288000;300350464;1747968;4028416;4491264;314368;0;0;4.91045e+06;18;date_dim,customer_address,customer_demographics,household_demographics,store,store_sales;select avg(ss_quantity)        ,avg(ss_ext_sales_price)        ,avg(ss_ext_wholesale_cost)        ,sum(ss_ext_wholesale_cost)  from store_sales      ,store      ,customer_demographics      ,household_demographics      ,customer_address      ,date_dim  where s_store_sk = ss_store_sk  and  ss_sold_date_sk = d_date_sk and d_year = 2001  and((ss_hdemo_sk=hd_demo_sk   and cd_demo_sk = ss_cdemo_sk   and cd_marital_status = 'D'   and cd_education_status = 'Secondary'   and ss_sales_price between 100.00 and 150.00   and hd_dep_count = 3         )or      (ss_hdemo_sk=hd_demo_sk   and cd_demo_sk = ss_cdemo_sk   and cd_marital_status = 'W'   and cd_education_status = 'Primary'   and ss_sales_price between 50.00 and 100.00      and hd_dep_count = 1      ) or       (ss_hdemo_sk=hd_demo_sk   and cd_demo_sk = ss_cdemo_sk   and cd_marital_status = 'S'   and cd_education_status = '4 yr Degree'   and ss_sales_price between 150.00 and 200.00    and hd_dep_count = 1        ))  and((ss_addr_sk = ca_address_sk   and ca_country = 'United States'   and ca_state in ('GA', 'CA', 'TX')   and ss_net_profit between 100 and 200        ) or      (ss_addr_sk = ca_address_sk   and ca_country = 'United States'   and ca_state in ('VA', 'UT', 'IL')   and ss_net_profit between 150 and 300        ) or      (ss_addr_sk = ca_address_sk   and ca_country = 'United States'   and ca_state in ('WV', 'WA', 'OK')   and ss_net_profit between 50 and 250        )) ;
15;64;2389.68;29.052;2371584;185153;17708032;52428800;104857600;524288000;300350464;1747968;4019200;4119552;0;0;0;5.8107e+06;17;date_dim,customer_address,customer,catalog_sales;select  ca_zip        ,sum(cs_sales_price)  from catalog_sales      ,customer      ,customer_address      ,date_dim  where cs_bill_customer_sk = c_customer_sk   and c_current_addr_sk = ca_address_sk    and ( substr(ca_zip,1,5) in ('85669', '86197','88274','83405','86475',                                    '85392', '85460', '80348', '81792')         or ca_state in ('CA','WA','GA')         or cs_sales_price > 500)   and cs_sold_date_sk = d_date_sk   and d_qoy = 1 and d_year = 1999  group by ca_zip  order by ca_zip  limit 100;
