query_id;plan_id;dop;query_dop;operator_type;execution_time;total_time;start_time;estimate_costs;estimate_rows;actual_rows;l_input_rows;r_input_rows;nloops;peak_mem;cstore_buffers;instance_mem;width;table_names;index_names;filter;join_names;predicate_cost;agg_col;agg_width;disk_ratio;agg_groups;build_time;hash_time;hash_table_size;jointype;hash_width;stream_data_send_time;stream_quota_time;stream_poll_time;stream_data_copy_time;up_dop;down_dop;child_plan;is_executed
3;0;1;64;Row Adapter;0.009;14010.7;14010.7;0;100;100;100;0;1;42;104857600;524288000;102;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;1;1
3;1;1;64;Vector Limit;0.005;14010.7;14010.7;0.25;100;100;100;0;1;7;104857600;524288000;102;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;2;1
3;2;1;64;Vector Sort;0.282;14010.7;14010.7;7.4;2960;100;642;0;1;344;104857600;524288000;102;none;;;;0;3;0;0;0;0;0;0;none;0;0;0;0;0;0;0;3;1
3;3;1;64;Vector Sonic Hash Aggregate;12.669;14010.4;14010.4;29.6;2960;642;77324;0;1;1064;104857600;524288000;102;none;;;;0;3;32;0;2960;9.277;2.582;664.844;none;0;0;0;0;0;0;0;4;1
3;4;1;64;Vector Sonic Hash Join;18.039;13997.7;671.163;168653;307176;77324;502578;6000;1;509;104857600;524288000;70;none;;;(store_sales.ss_sold_date_sk = dt.d_date_sk);0;0;0;0;0;0.044;13995.9;187.5;Inner;8;0;0;0;0;0;0;5,8;1
3;8;1;64;CStore Scan;1.4;1.4;0.479;2041.67;6073;6000;73049;0;1;808;104857600;524288000;8;date_dim;;(d_moy = 11);;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;;1
3;5;1;64;Vector Nest Loop;33.201;13978.3;669.589;164427;307783;502578;371;502578;1;656;104857600;524288000;70;none;;;;0;0;0;0;0;0;0;0;Inner;0;0;0;0;0;0;0;6,7;1
3;7;1;64;CStore Index Scan;13933.4;13933.4;9804.36;816.717;1729;502578;287997024;0;371;832;104857600;524288000;19;store_sales;(ss_item_sk = $0);;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;;1
3;6;1;64;CStore Scan;11.613;11.613;2.501;15974;178;371;204000;0;1;869;104857600;524288000;59;item;;(i_manufact_id = 211);;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;;1
6;0;1;64;Row Adapter;0.004;9218.02;9218.02;0;51;52;52;0;1;20;104857600;524288000;19;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;1;1
6;1;1;64;Vector Limit;0.002;9218.02;9218.02;0.1275;51;52;52;0;1;3;104857600;524288000;19;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;5;1
6;5;1;64;Vector Sort;0.113;9218.02;9218.01;0.1275;51;52;52;0;1;286;104857600;524288000;19;none;;;;0;2;0;0;0;0;0;0;none;0;0;0;0;0;0;0;6;1
6;6;1;64;Vector Sonic Hash Aggregate;59.547;9217.9;9217.9;0.6375;51;52;256186;0;1;897;104857600;524288000;19;none;;;;0;1;16;0;52;29.502;9.631;4.62109;none;0;0;0;0;0;0;0;7;1
6;7;1;64;Vector Sonic Hash Join;145.907;9158.36;201.666;342748;1444334;256186;256186;1000000;1;15551;104857600;524288000;3;none;;;(c.c_current_addr_sk = a.ca_address_sk);0;0;0;0;0;22.757;9088.35;30273.4;Inner;7;0;0;0;0;0;0;8,21;1
6;21;1;64;CStore Scan;25.076;25.076;0.698;19785;1000000;1000000;1000000;0;1;492;104857600;524288000;7;customer_address;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;;1
6;8;1;64;Vector Sonic Hash Join;169.804;8987.37;141.828;322889;1444334;256186;262463;2000000;1;36618;104857600;524288000;4;none;;;(s.ss_customer_sk = c.c_customer_sk);0;0;0;0;0;22.624;8902.51;62500;Inner;8;0;0;0;0;0;0;9,20;1
6;20;1;64;CStore Scan;21.428;21.428;0.455;49056;2000000;2000000;2000000;0;1;543;104857600;524288000;8;customer;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;;1
