query_id;dop;execution_time;executor_start_time;query_used_mem;operator_mem;process_used_mem;estimate_work_mem;cstore_buffers;instance_mem;max_dynamic_memory;dynamic_startup_memory;init_used_memory;dynamic_peak_memory;other_memory;io_time;cpu_time;total_costs;operator_num;table_names;query_string;
3;64;15257;2.997;55296;5131;21689344;52428800;104857600;524288000;300350464;1746944;1753088;1802240;2440192;0;0;1.04987e+06;9;item,store_sales,date_dim;select  dt.d_year         ,item.i_brand_id brand_id         ,item.i_brand brand        ,sum(ss_sales_price) sum_agg  from  date_dim dt        ,store_sales       ,item  where dt.d_date_sk = store_sales.ss_sold_date_sk    and store_sales.ss_item_sk = item.i_item_sk    and item.i_manufact_id = 211    and dt.d_moy=11  group by dt.d_year       ,item.i_brand       ,item.i_brand_id  order by dt.d_year          ,sum_agg desc          ,brand_id  limit 100;
4;64;51091.5;839.421;30718976;12695889;103665664;52428800;104857600;524288000;300350464;1747968;14871552;32466944;27090944;0;0;6.6175e+17;96;store_sales,date_dim,web_sales,catalog_sales,customer;with year_total as (  select c_customer_id customer_id        ,c_first_name customer_first_name        ,c_last_name customer_last_name        ,c_preferred_cust_flag customer_preferred_cust_flag        ,c_birth_country customer_birth_country        ,c_login customer_login        ,c_email_address customer_email_address        ,d_year dyear        ,sum(((ss_ext_list_price-ss_ext_wholesale_cost-ss_ext_discount_amt)+ss_ext_sales_price)/2) year_total        ,'s' sale_type  from customer      ,store_sales      ,date_dim  where c_customer_sk = ss_customer_sk    and ss_sold_date_sk = d_date_sk  group by c_customer_id          ,c_first_name          ,c_last_name          ,c_preferred_cust_flag          ,c_birth_country          ,c_login          ,c_email_address          ,d_year  union all  select c_customer_id customer_id        ,c_first_name customer_first_name        ,c_last_name customer_last_name        ,c_preferred_cust_flag customer_preferred_cust_flag        ,c_birth_country customer_birth_country        ,c_login customer_login        ,c_email_address customer_email_address        ,d_year dyear        ,sum((((cs_ext_list_price-cs_ext_wholesale_cost-cs_ext_discount_amt)+cs_ext_sales_price)/2) ) year_total        ,'c' sale_type  from customer      ,catalog_sales      ,date_dim  where c_customer_sk = cs_bill_customer_sk    and cs_sold_date_sk = d_date_sk  group by c_customer_id          ,c_first_name          ,c_last_name          ,c_preferred_cust_flag          ,c_birth_country          ,c_login          ,c_email_address          ,d_year union all  select c_customer_id customer_id        ,c_first_name customer_first_name        ,c_last_name customer_last_name        ,c_preferred_cust_flag customer_preferred_cust_flag        ,c_birth_country customer_birth_country        ,c_login customer_login        ,c_email_address customer_email_address        ,d_year dyear        ,sum((((ws_ext_list_price-ws_ext_wholesale_cost-ws_ext_discount_amt)+ws_ext_sales_price)/2) ) year_total        ,'w' sale_type  from customer      ,web_sales      ,date_dim  where c_customer_sk = ws_bill_customer_sk    and ws_sold_date_sk = d_date_sk  group by c_customer_id          ,c_first_name          ,c_last_name          ,c_preferred_cust_flag          ,c_birth_country          ,c_login          ,c_email_address          ,d_year          )   select                     t_s_secyear.customer_id                  ,t_s_secyear.customer_first_name                  ,t_s_secyear.customer_last_name                  ,t_s_secyear.customer_preferred_cust_flag  from year_total t_s_firstyear      ,year_total t_s_secyear      ,year_total t_c_firstyear      ,year_total t_c_secyear      ,year_total t_w_firstyear      ,year_total t_w_secyear  where t_s_secyear.customer_id = t_s_firstyear.customer_id    and t_s_firstyear.customer_id = t_c_secyear.customer_id    and t_s_firstyear.customer_id = t_c_firstyear.customer_id    and t_s_firstyear.customer_id = t_w_firstyear.customer_id    and t_s_firstyear.customer_id = t_w_secyear.customer_id    and t_s_firstyear.sale_type = 's'    and t_c_firstyear.sale_type = 'c'    and t_w_firstyear.sale_type = 'w'    and t_s_secyear.sale_type = 's'    and t_c_secyear.sale_type = 'c'    and t_w_secyear.sale_type = 'w'    and t_s_firstyear.dyear =  1999    and t_s_secyear.dyear = 1999+1    and t_c_firstyear.dyear =  1999    and t_c_secyear.dyear =  1999+1    and t_w_firstyear.dyear = 1999    and t_w_secyear.dyear = 1999+1    and t_s_firstyear.year_total > 0    and t_c_firstyear.year_total > 0    and t_w_firstyear.year_total > 0    and case when t_c_firstyear.year_total > 0 then t_c_secyear.year_total / t_c_firstyear.year_total else null end            > case when t_s_firstyear.year_total > 0 then t_s_secyear.year_total / t_s_firstyear.year_total else null end    and case when t_c_firstyear.year_total > 0 then t_c_secyear.year_total / t_c_firstyear.year_total else null end            > case when t_w_firstyear.year_total > 0 then t_w_secyear.year_total / t_w_firstyear.year_total else null end  order by t_s_secyear.customer_id          ,t_s_secyear.customer_first_name          ,t_s_secyear.customer_last_name          ,t_s_secyear.customer_preferred_cust_flag limit 100;
6;64;1458.44;49.139;876544;139243;20295680;52428800;104857600;524288000;300350464;1747968;2391040;2624512;3116032;0;0;4.68716e+06;22;item,date_dim,store_sales,customer,customer_address;select  a.ca_state state, count(*) cnt  from customer_address a      ,customer c      ,store_sales s      ,date_dim d      ,item i  where       a.ca_address_sk = c.c_current_addr_sk   and c.c_customer_sk = s.ss_customer_sk   and s.ss_sold_date_sk = d.d_date_sk   and s.ss_item_sk = i.i_item_sk   and d.d_month_seq =         (select distinct (d_month_seq)         from date_dim                where d_year = 1998           and d_moy = 6 )   and i.i_current_price > 1.2 *               (select avg(j.i_current_price)         from item j         where j.i_category = i.i_category)  group by a.ca_state  having count(*) >= 10  order by cnt, a.ca_state   limit 100;
7;64;17823.9;186.68;3772416;726028;48591872;52428800;104857600;524288000;300350464;1747968;5015552;5520384;10545152;0;0;7.72362e+06;23;promotion,item,date_dim,customer_demographics,store_sales;select  i_item_id,          avg(ss_quantity) agg1,         avg(ss_list_price) agg2,         avg(ss_coupon_amt) agg3,         avg(ss_sales_price) agg4   from store_sales, customer_demographics, date_dim, item, promotion  where ss_sold_date_sk = d_date_sk and        ss_item_sk = i_item_sk and        ss_cdemo_sk = cd_demo_sk and        ss_promo_sk = p_promo_sk and        cd_gender = 'M' and         cd_marital_status = 'M' and        cd_education_status = '4 yr Degree' and        (p_channel_email = 'N' or p_channel_event = 'N') and        d_year = 2001   group by i_item_id  order by i_item_id  limit 100;
8;64;8210.22;175.907;2803712;508501;28569600;52428800;104857600;524288000;300350464;1747968;4324352;4551680;6187008;0;0;6.33996e+06;27;customer,customer_address,date_dim,store,store_sales;select  s_store_name       ,sum(ss_net_profit)  from store_sales      ,date_dim      ,store,      (select ca_zip      from (       SELECT substr(ca_zip,1,5) ca_zip       FROM customer_address       WHERE substr(ca_zip,1,5) IN (                           '43758','76357','20728','59309','19777','27690',                           '23681','52275','64367','24674','79465',                           '52936','53936','91889','89248','70394',                           '66020','56289','45541','29900','99055',                           '47395','16654','26748','74456','31039',                           '77674','87076','92273','31667','20150',                           '84426','75885','61588','57973','29487',                           '95008','65615','24339','84923','38463',                           '13811','44227','18570','40389','14584',                           '33007','61590','47363','57853','43499',                           '90755','47141','14392','33991','77031',                           '22854','20127','10624','15730','75295',                           '98460','17059','26953','82996','17095',                           '53227','34618','86978','33613','12541',                           '63977','53929','55459','11516','85350',                           '99888','23506','10569','66837','50031',                           '28282','83901','98554','54828','14616',                           '12743','42473','95507','30542','12883',                           '95097','61307','32530','37753','53116',                           '10989','87430','22114','68848','21246',                           '68327','28446','85870','11697','30541',                           '22933','70727','17570','55311','73355',                           '16347','61573','81229','95480','92091',                           '52603','51232','62666','12173','31993',                           '98202','78325','46798','63259','34167',                           '50435','56182','29390','51732','88435',                           '10366','46637','69283','18218','33324',                           '24139','16122','53142','16832','98386',                           '41451','85109','32534','83953','76537',                           '60857','59939','22271','38788','26296',                           '59937','14272','98651','38185','16322',                           '13735','56321','81398','36035','36512',                           '96290','40596','22748','77965','28512',                           '15540','20574','72340','81870','31905',                           '18121','26282','30345','38703','74274',                           '71129','23244','68810','10106','55461',                           '25528','71474','37071','21552','81846',                           '64930','13233','11694','17829','43790',                           '60379','11482','22714','40977','73320',                           '13928','78952','92802','66663','95765',                           '86101','19813','90867','81258','93891',                           '32755','21548','36452','50931','95773',                           '57046','14736','30562','44667','80519',                           '99886','97296','38505','29732','38693',                           '83898','88032','64442','25944','39303',                           '70781','92448','64252','89641','88070',                           '38159','27654','72120','41689','37122',                           '63776','90416','28479','14787','18038',                           '39783','50062','28010','13042','86777',                           '32380','80664','33558','43641','14627',                           '68858','57733','53458','73016','76141',                           '42375','12248','38778','50092','80825',                           '58934','12145','78407','57009','52782',                           '72140','35635','63926','35282','29292',                           '30149','33576','95945','48303','56310',                           '32214','69726','48249','91163','57311',                           '12361','20491','13551','61620','59648',                           '44466','53607','18410','99090','37973',                           '17986','80713','95948','35103','51799',                           '54707','52269','86117','44909','15530',                           '28999','80844','62823','46487','15144',                           '51445','81050','34943','45141','28541',                           '12414','56922','50548','16422','16780',                           '53104','60629','24405','61768','48257',                           '92852','27390','24411','17776','81487',                           '34848','45773','64188','24209','55276',                           '11379','33956','46173','67361','32337',                           '82112','73196','38461','43987','17980',                           '65414','12247','42107','15326','73018',                           '59993','85526','50231','60176','23889',                           '88012','27859','44921','50915','21742',                           '21272','64763','78761','62002','18502',                           '42208','49675','69413','46013','67034',                           '52739','94050','76249','25105','67299',                           '77588','50637','14333','39372','98030',                           '79792','12014','56236','61057','51347',                           '87879','71564','48478','33078','23325',                           '25526','52855','27570','78396','18695',                           '24397','76087','35195','97232','29136',                           '15812','18408','40746','78749')      intersect       select ca_zip       from (SELECT substr(ca_zip,1,5) ca_zip,count(*) cnt             FROM customer_address, customer             WHERE ca_address_sk = c_current_addr_sk and                   c_preferred_cust_flag='Y'             group by ca_zip             having count(*) > 10)A1)A2) V1  where ss_store_sk = s_store_sk   and ss_sold_date_sk = d_date_sk   and d_qoy = 1 and d_year = 2000   and (substr(s_zip,1,2) = substr(V1.ca_zip,1,2))  group by s_store_name  order by s_store_name  limit 100;
10;64;3727.68;939.276;4249600;616857;30287872;52428800;104857600;524288000;300350464;1747968;5852160;5997568;7915520;0;0;7.52441e+06;35;web_sales,date_dim,store_sales,customer_demographics,customer_address,catalog_sales,customer;select     cd_gender,   cd_marital_status,   cd_education_status,   count(*) cnt1,   cd_purchase_estimate,   count(*) cnt2,   cd_credit_rating,   count(*) cnt3,   cd_dep_count,   count(*) cnt4,   cd_dep_employed_count,   count(*) cnt5,   cd_dep_college_count,   count(*) cnt6  from   customer c,customer_address ca,customer_demographics  where   c.c_current_addr_sk = ca.ca_address_sk and   ca_county in ('Bottineau County','Marion County','Randolph County','Providence County','Sagadahoc County') and   cd_demo_sk = c.c_current_cdemo_sk and    exists (select *           from store_sales,date_dim           where c.c_customer_sk = ss_customer_sk and                 ss_sold_date_sk = d_date_sk and                 d_year = 2000 and                 d_moy between 1 and 1+3) and    (exists (select *             from web_sales,date_dim             where c.c_customer_sk = ws_bill_customer_sk and                   ws_sold_date_sk = d_date_sk and                   d_year = 2000 and                   d_moy between 1 ANd 1+3) or      exists (select *              from catalog_sales,date_dim             where c.c_customer_sk = cs_ship_customer_sk and                   cs_sold_date_sk = d_date_sk and                   d_year = 2000 and                   d_moy between 1 and 1+3))  group by cd_gender,           cd_marital_status,           cd_education_status,           cd_purchase_estimate,           cd_credit_rating,           cd_dep_count,           cd_dep_employed_count,           cd_dep_college_count  order by cd_gender,           cd_marital_status,           cd_education_status,           cd_purchase_estimate,           cd_credit_rating,           cd_dep_count,           cd_dep_employed_count,           cd_dep_college_count limit 100;
11;64;4768.73;836.842;20315136;7383639;60905472;52428800;104857600;524288000;300350464;1747968;13115392;22063104;17436672;0;0;3.97599e+12;65;store_sales,date_dim,web_sales,customer;with year_total as (  select c_customer_id customer_id        ,c_first_name customer_first_name        ,c_last_name customer_last_name        ,c_preferred_cust_flag customer_preferred_cust_flag        ,c_birth_country customer_birth_country        ,c_login customer_login        ,c_email_address customer_email_address        ,d_year dyear        ,sum(ss_ext_list_price-ss_ext_discount_amt) year_total        ,'s' sale_type  from customer      ,store_sales      ,date_dim  where c_customer_sk = ss_customer_sk    and ss_sold_date_sk = d_date_sk  group by c_customer_id          ,c_first_name          ,c_last_name          ,c_preferred_cust_flag           ,c_birth_country          ,c_login          ,c_email_address          ,d_year   union all  select c_customer_id customer_id        ,c_first_name customer_first_name        ,c_last_name customer_last_name        ,c_preferred_cust_flag customer_preferred_cust_flag        ,c_birth_country customer_birth_country        ,c_login customer_login        ,c_email_address customer_email_address        ,d_year dyear        ,sum(ws_ext_list_price-ws_ext_discount_amt) year_total        ,'w' sale_type  from customer      ,web_sales      ,date_dim  where c_customer_sk = ws_bill_customer_sk    and ws_sold_date_sk = d_date_sk  group by c_customer_id          ,c_first_name          ,c_last_name          ,c_preferred_cust_flag           ,c_birth_country          ,c_login          ,c_email_address          ,d_year          )   select                     t_s_secyear.customer_id                  ,t_s_secyear.customer_first_name                  ,t_s_secyear.customer_last_name                  ,t_s_secyear.customer_preferred_cust_flag  from year_total t_s_firstyear      ,year_total t_s_secyear      ,year_total t_w_firstyear      ,year_total t_w_secyear  where t_s_secyear.customer_id = t_s_firstyear.customer_id          and t_s_firstyear.customer_id = t_w_secyear.customer_id          and t_s_firstyear.customer_id = t_w_firstyear.customer_id          and t_s_firstyear.sale_type = 's'          and t_w_firstyear.sale_type = 'w'          and t_s_secyear.sale_type = 's'          and t_w_secyear.sale_type = 'w'          and t_s_firstyear.dyear = 1998          and t_s_secyear.dyear = 1998+1          and t_w_firstyear.dyear = 1998          and t_w_secyear.dyear = 1998+1          and t_s_firstyear.year_total > 0          and t_w_firstyear.year_total > 0          and case when t_w_firstyear.year_total > 0 then t_w_secyear.year_total / t_w_firstyear.year_total else 0.0 end              > case when t_s_firstyear.year_total > 0 then t_s_secyear.year_total / t_s_firstyear.year_total else 0.0 end  order by t_s_secyear.customer_id          ,t_s_secyear.customer_first_name          ,t_s_secyear.customer_last_name          ,t_s_secyear.customer_preferred_cust_flag limit 100;
12;64;3159.74;50.185;858112;134730;15623168;52428800;104857600;524288000;300350464;1747968;2413568;2606080;1902592;0;0;2.13411e+06;13;date_dim,item,web_sales;select  i_item_id       ,i_item_desc        ,i_category        ,i_class        ,i_current_price       ,sum(ws_ext_sales_price) as itemrevenue        ,sum(ws_ext_sales_price)*100/sum(sum(ws_ext_sales_price)) over           (partition by i_class) as revenueratio from   web_sales      ,item       ,date_dim where   ws_item_sk = i_item_sk     and i_category in ('Women', 'Children', 'Books')    and ws_sold_date_sk = d_date_sk  and d_date between cast('2001-02-28' as date)      and (cast('2001-02-28' as date) + 30 ) group by   i_item_id         ,i_item_desc          ,i_category         ,i_class         ,i_current_price order by   i_category         ,i_class         ,i_item_id         ,i_item_desc         ,revenueratio limit 100;
13;64;9029.67;116.725;2733056;333192;56978432;52428800;104857600;524288000;300350464;1746944;3929088;4480000;11388928;0;0;4.91001e+06;18;date_dim,customer_address,customer_demographics,household_demographics,store,store_sales;select avg(ss_quantity)        ,avg(ss_ext_sales_price)        ,avg(ss_ext_wholesale_cost)        ,sum(ss_ext_wholesale_cost)  from store_sales      ,store      ,customer_demographics      ,household_demographics      ,customer_address      ,date_dim  where s_store_sk = ss_store_sk  and  ss_sold_date_sk = d_date_sk and d_year = 2001  and((ss_hdemo_sk=hd_demo_sk   and cd_demo_sk = ss_cdemo_sk   and cd_marital_status = 'D'   and cd_education_status = 'Advanced Degree'   and ss_sales_price between 100.00 and 150.00   and hd_dep_count = 3         )or      (ss_hdemo_sk=hd_demo_sk   and cd_demo_sk = ss_cdemo_sk   and cd_marital_status = 'U'   and cd_education_status = '2 yr Degree'   and ss_sales_price between 50.00 and 100.00      and hd_dep_count = 1      ) or       (ss_hdemo_sk=hd_demo_sk   and cd_demo_sk = ss_cdemo_sk   and cd_marital_status = 'W'   and cd_education_status = '4 yr Degree'   and ss_sales_price between 150.00 and 200.00    and hd_dep_count = 1        ))  and((ss_addr_sk = ca_address_sk   and ca_country = 'United States'   and ca_state in ('TX', 'OH', 'OK')   and ss_net_profit between 100 and 200        ) or      (ss_addr_sk = ca_address_sk   and ca_country = 'United States'   and ca_state in ('MS', 'NY', 'GA')   and ss_net_profit between 150 and 300        ) or      (ss_addr_sk = ca_address_sk   and ca_country = 'United States'   and ca_state in ('TN', 'IN', 'AL')   and ss_net_profit between 50 and 250        )) ;
15;64;3358.06;181.682;2962432;373313;22257664;52428800;104857600;524288000;300350464;1747968;4396032;4710400;4481024;0;0;5.79848e+06;17;date_dim,customer_address,customer,catalog_sales;select  ca_zip        ,sum(cs_sales_price)  from catalog_sales      ,customer      ,customer_address      ,date_dim  where cs_bill_customer_sk = c_customer_sk   and c_current_addr_sk = ca_address_sk    and ( substr(ca_zip,1,5) in ('85669', '86197','88274','83405','86475',                                    '85392', '85460', '80348', '81792')         or ca_state in ('CA','WA','GA')         or cs_sales_price > 500)   and cs_sold_date_sk = d_date_sk   and d_qoy = 2 and d_year = 2002  group by ca_zip  order by ca_zip  limit 100;
