query_id;plan_id;dop;query_dop;operator_type;execution_time;total_time;start_time;estimate_costs;estimate_rows;actual_rows;l_input_rows;r_input_rows;nloops;peak_mem;cstore_buffers;instance_mem;width;table_names;index_names;filter;join_names;predicate_cost;agg_col;agg_width;disk_ratio;agg_groups;build_time;hash_time;hash_table_size;jointype;hash_width;stream_data_send_time;stream_quota_time;stream_poll_time;stream_data_copy_time;up_dop;down_dop;child_plan;is_executed
1;0;1;64;Row Adapter;0.01;34830.6;34830.6;0;6;4;4;0;1;92;104857600;524288000;280;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;1;1
1;1;1;64;Vector Sort;1.037;34830.6;34830.6;0.015;6;4;4;0;1;492;104857600;524288000;280;none;;;;0;2;0;0;0;0;0;0;none;0;0;0;0;0;0;0;2;1
1;2;1;64;Vector Streaming LOCAL GATHER;0.344;34829.6;34828.2;0.272408;6;4;4;0;1;342;104857600;524288000;280;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;34829.2;0.054;1;10;3;1
1;3;10;64;Vector Sonic Hash Aggregate;1.233;34826.7;34821.1;0.00164063;6;4;288;0;1;31890;104857600;524288000;280;none;;;;0;2;0;0;288;0.475;0.431;1093.5;none;0;0.29;0;0;0.278;0;0;4;1
1;4;10;64;Vector Streaming LOCAL REDISTRIBUTE;0.7485;34825.4;34714.6;0.941953;6;288;288;0;1;7585;104857600;524288000;280;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;34821;0.3265;10;72;5;1
1;5;72;64;Vector Sonic Hash Aggregate;2321.3;34825.9;34714.4;0.00164063;6;288;600025596;0;1;235584;104857600;524288000;280;none;;;;0;2;232;0;288;445.49;1920.17;1093.5;none;0;0.422;0;0;0.394;0;0;6;1
1;6;72;64;CStore Scan;32504.6;32504.6;44.117;288021;599981992;600025596;600037902;0;1;89208;104857600;524288000;48;lineitem;;(l_shipdate <= '1998-11-28 00:00:00'::timestamp without time zone);;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;;1
3;0;1;64;Row Adapter;0.003;11550.4;11550.4;0;10;10;10;0;1;38;104857600;524288000;78;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;1;1
3;1;1;64;Vector Limit;0.002;11550.4;11550.4;0.025;10;10;10;0;1;3;104857600;524288000;78;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;2;1
3;2;1;64;Vector Sort;0.373;11550.4;11550.4;0.025;10;10;100;0;1;302;104857600;524288000;78;none;;;;0;2;0;0;0;0;0;0;none;0;0;0;0;0;0;0;3;1
