query_id;plan_id;dop;query_dop;operator_type;execution_time;total_time;start_time;estimate_costs;estimate_rows;actual_rows;l_input_rows;r_input_rows;nloops;peak_mem;cstore_buffers;instance_mem;width;table_names;index_names;filter;join_names;predicate_cost;agg_col;agg_width;disk_ratio;agg_groups;build_time;hash_time;hash_table_size;jointype;hash_width;stream_data_send_time;stream_quota_time;stream_poll_time;stream_data_copy_time;up_dop;down_dop;child_plan;is_executed
1;0;1;64;Row Adapter;0.012;4085.51;4085.51;0;6;4;4;0;1;92;104857600;524288000;280;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;1;1
1;1;1;64;Vector Sort;0.986;4085.49;4085.49;0.015;6;4;4;0;1;492;104857600;524288000;280;none;;;;0;2;0;0;0;0;0;0;none;0;0;0;0;0;0;0;2;1
1;2;1;64;Vector Streaming LOCAL GATHER;0.898;4084.51;4084.38;0.272408;6;4;4;0;1;325;104857600;524288000;280;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;4083.86;0.465;1;8;3;1
1;3;8;64;Vector Sonic Hash Aggregate;0.828;4081.85;4080.06;0.00164063;6;4;224;0;1;25532;104857600;524288000;280;none;;;;0;2;0;0;224;0.146;0.492;850.5;none;0;0.433;0;0;0.407;0;0;4;1
1;4;8;64;Vector Streaming LOCAL REDISTRIBUTE;0.81575;4081.02;3963.64;0.941953;6;224;224;0;1;5078;104857600;524288000;280;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;4078.62;0.29975;8;56;5;1
1;5;56;64;Vector Sonic Hash Aggregate;3007.53;4082.46;3963.73;0.00164063;6;224;600025596;0;1;183232;104857600;524288000;280;none;;;;0;2;232;0;224;570.708;2474.04;850.5;none;0;0.516;0;0;0.481;0;0;6;1
1;6;56;64;CStore Scan;1074.93;1074.93;35.671;288021;599981992;600025596;600037902;0;1;69384;104857600;524288000;48;lineitem;;(l_shipdate <= '1998-11-28 00:00:00'::timestamp without time zone);;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;;1
3;0;1;64;Row Adapter;0.006;5194.71;5194.7;0;10;10;10;0;1;38;104857600;524288000;78;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;1;1
3;1;1;64;Vector Limit;0.002;5194.7;5194.7;0.025;10;10;10;0;1;3;104857600;524288000;78;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;2;1
3;2;1;64;Vector Sort;0.295;5194.7;5194.7;0.025;10;10;380;0;1;302;104857600;524288000;78;none;;;;0;2;0;0;0;0;0;0;none;0;0;0;0;0;0;0;3;1
3;9;64;64;CStore Scan;778.658;778.658;20.85;288021;321100916;323494519;600037902;0;1;51328;104857600;524288000;30;lineitem;;(l_shipdate > '1995-03-15 00:00:00'::timestamp(0) without time zone);;0;0;0;0;0;0;0;0;none;0;3612.44;1238.57;0;773.974;0;0;;1
3;8;38;64;Vector Streaming LOCAL REDISTRIBUTE;2552.67;3694.27;0.064;655189;321100916;323494519;323494519;0;1;23294;104857600;524288000;30;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;3328.11;178.802;38;64;9;1
3;13;64;64;CStore Scan;121.613;121.613;3.628;107219;73288983;72874383;150000000;0;1;44608;104857600;524288000;32;orders;;(o_orderdate < '1995-03-15 00:00:00'::timestamp(0) without time zone);;0;0;0;0;0;0;0;0;none;0;823.59;105.585;0;186.505;0;0;;1
3;12;96;64;Vector Streaming LOCAL REDISTRIBUTE;722.374;846.155;0.077;239643;73288983;72874383;72874383;0;1;56640;104857600;524288000;32;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;817.394;4.36893;96;64;13;1
3;15;32;64;CStore Scan;40.354;40.354;0.233;68625;2949500;3000188;15000000;0;1;13824;104857600;524288000;8;customer;;(c_mktsegment = 'BUILDING'::bpchar);;0;0;0;0;0;0;0;0;none;0;97.744;4.913;0;46.55;0;0;;1
3;14;96;64;Vector Streaming LOCAL REDISTRIBUTE;92.9219;140.134;31.92;134419;2949500;3000188;3000188;0;1;28320;104857600;524288000;8;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;117.91;0.0908542;96;32;15;1
3;11;96;64;Vector Sonic Hash Join;25.083;1011.37;105.154;248524;29355061;14567861;72874383;3000188;1;69024;104857600;524288000;24;none;;;(orders.o_custkey = customer.c_custkey);0;0;0;0;0;0.311;879.795;93755.9;Inner;8;88.142;4.489;0;22.285;0;0;12,14;1
3;10;38;64;Vector Streaming LOCAL REDISTRIBUTE;85.6098;1058.64;228.449;339331;29355061;14567861;14567861;0;1;32224;104857600;524288000;24;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;1030.03;1.95682;38;96;11;1
3;7;38;64;Vector Sonic Hash Join;379.109;5132.02;1014.66;734325;386054097;2987578;323494519;14567861;1;521709;104857600;524288000;46;none;;;(lineitem.l_orderkey = orders.o_orderkey);0;0;0;0;0;8.625;4069.14;682868;Inner;24;0;0;0;0;0;0;8,10;1
3;6;38;64;Vector Sonic Hash Aggregate;57.472;5189.49;5128.25;2.87776e+06;386054097;1131041;2987578;0;1;1938221;104857600;524288000;78;none;;;;0;3;32;0.324921;6.0321e+06;31.968;15.602;2.42698e+06;none;0;0;0;0;0;0;0;7;1
3;5;38;64;Vector Sort;3.824;5193.32;5134.06;965135;386054097;380;1131041;0;1;11476;104857600;524288000;78;none;;;;0;2;0;0;0;0;0;0;none;0;0;0;0;0;0;0;6;1
3;4;38;64;Vector Limit;0.012;5193.33;5134.07;0.025;10;380;380;0;1;114;104857600;524288000;78;none;;;;0;0;0;0;0;0;0;0;none;0;0.032;0;0;0.005;0;0;5;1
3;3;1;64;Vector Streaming LOCAL GATHER;0.232;5194.4;5181.42;0.150713;10;380;380;0;1;390;104857600;524288000;78;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;5193.91;0.2;1;38;4;1
4;0;1;64;Row Adapter;0.004;4303.75;4303.75;0;1;5;5;0;1;20;104857600;524288000;24;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;1;1
4;1;1;64;Vector Sort;1.26;4303.75;4303.75;0.005;1;5;5;0;1;284;104857600;524288000;24;none;;;;0;1;0;0;0;0;0;0;none;0;0;0;0;0;0;0;2;1
4;2;1;64;Vector Streaming LOCAL GATHER;0.039;4302.49;4302.32;0.00402435;1;5;5;0;1;120;104857600;524288000;24;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;4302.38;0.019;1;8;3;1
4;3;8;64;Vector Sonic Hash Aggregate;0.114;4301.01;4293.62;0.00015625;1;5;260;0;1;5840;104857600;524288000;24;none;;;;0;1;0;0;260;0.032;0.015;22.3438;none;0;0.02;0;0;0.004;0;0;4;1
4;4;8;64;Vector Streaming LOCAL REDISTRIBUTE;0.115125;4300.9;4289.83;0.031875;1;260;260;0;1;3853;104857600;524288000;24;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;4294.75;0.075125;8;52;5;1
4;5;52;64;Vector Sonic Hash Aggregate;16.798;4297.33;4289.6;0.00015625;1;260;5257429;0;1;35204;104857600;524288000;24;none;;;;0;1;8;0;260;16.533;2.478;22.3438;none;0;0.04;0;0;0.036;0;0;6;1
4;6;52;64;Vector Hash Join;346.11;4280.53;313.57;549206;318151;5257429;379356474;5733776;1;481633;104857600;524288000;16;none;;;(lineitem.l_orderkey = orders.o_orderkey);0;0;0;0;0;10.406;3958.06;268771;Right Semi;24;0;0;0;0;0;0;7,9;1
4;9;52;64;Vector Streaming LOCAL REDISTRIBUTE;123.683;312.399;53.912;181696;5930224;5733776;5733776;0;1;17524;104857600;524288000;24;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;304.64;1.56487;52;32;10;1
4;10;32;64;CStore Scan;182.259;182.259;3.268;113078;5930224;5733776;150000000;0;1;19008;104857600;524288000;24;orders;;((o_orderdate >= '1993-07-01 00:00:00'::timestamp(0) without time zone) AND (o_orderdate < '1993-10-01 00:00:00'::timestamp without time zone));;0;0;0;0;0;0;0;0;none;0;124.01;1.892;0;28.254;0;0;;1
