query_id;dop;execution_time;executor_start_time;query_used_mem;operator_mem;process_used_mem;estimate_work_mem;cstore_buffers;instance_mem;max_dynamic_memory;dynamic_startup_memory;init_used_memory;dynamic_peak_memory;other_memory;io_time;cpu_time;total_costs;operator_num;table_names;query_string;
1;64;4099.31;6.677;1824768;284135;80303104;52428800;104857600;524288000;300350464;1747968;3214336;3572736;10689536;0;0;4.40671e+06;7;lineitem;select  l_returnflag,  l_linestatus,  sum(l_quantity) as sum_qty,  sum(l_extendedprice) as sum_base_price,  sum(l_extendedprice * (1 - l_discount)) as sum_disc_price,  sum(l_extendedprice * (1 - l_discount) * (1 + l_tax)/1000) as sum_charge,   avg(l_quantity) as avg_qty,  avg(l_extendedprice) as avg_price,  avg(l_discount) as avg_disc,  count(*) as count_order from  lineitem where  l_shipdate <= date '1998-12-01' - NUMTODSINTERVAL(3,'DAY') group by  l_returnflag,  l_linestatus order by  l_returnflag,  l_linestatus;
3;64;5288.88;74.244;7022592;2791515;59657216;52428800;104857600;524288000;300350464;1747968;6158336;8770560;10281984;0;0;1.10171e+08;16;lineitem,orders,customer;select  l_orderkey,  sum(l_extendedprice * (1 - l_discount)) as revenue,  o_orderdate,  o_shippriority from  customer,  orders,  lineitem where  c_mktsegment = 'BUILDING'  and c_custkey = o_custkey  and l_orderkey = o_orderkey  and o_orderdate < '1995-03-15'::date  and l_shipdate > '1995-03-15'::date group by  l_orderkey,  o_orderdate,  o_shippriority order by  revenue desc,  o_orderdate limit 10 ;
4;64;4326.76;15.234;3706880;632774;39597056;52428800;104857600;524288000;300350464;1747968;4561920;5454848;6004736;0;0;6.24785e+06;11;lineitem,orders;select  o_orderpriority,  count(*) as order_count from  orders where  o_orderdate >= '1993-07-01'::date  and o_orderdate < '1993-07-01'::date + NUMTOYMINTERVAL(3,'month')  and exists (   select    *   from    lineitem   where    l_orderkey = o_orderkey    and l_commitdate < l_receiptdate  ) group by  o_orderpriority order by  o_orderpriority;
5;64;2678.52;72.11;6173696;1269815;61184000;52428800;104857600;524288000;300350464;1747968;6854656;7921664;11122688;0;0;1.07899e+07;22;region,nation,supplier,lineitem,orders,customer;select  n_name,  sum(l_extendedprice * (1 - l_discount)) as revenue from  customer,  orders,  lineitem,  supplier,  nation,  region where  c_custkey = o_custkey  and l_orderkey = o_orderkey  and l_suppkey = s_suppkey  and c_nationkey = s_nationkey  and s_nationkey = n_nationkey  and n_regionkey = r_regionkey  and r_name = 'ASIA'  and o_orderdate >= '1994-01-01'::date  and o_orderdate < '1994-01-01'::date + NUMTOYMINTERVAL(1,'year') group by  n_name order by  revenue desc;
6;64;1543.37;2.188;742400;36504;54646784;52428800;104857600;524288000;300350464;1747968;2440192;2490368;6794240;0;0;2.13799e+06;5;lineitem;select  sum(l_extendedprice * l_discount) as revenue from  lineitem where  l_shipdate >= '1994-01-01'::date   and l_shipdate < '1994-01-01'::date + NUMTOYMINTERVAL(1,'year')  and l_discount between 0.06 - 0.01 and 0.06 + 0.01  and l_quantity < 24;
7;64;4453.55;113.484;10886144;4698267;66236416;52428800;104857600;524288000;300350464;1747968;7378944;12634112;12325888;0;0;1.02931e+07;23;nation,customer,orders,lineitem,supplier;select  supp_nation,  cust_nation,  l_year,  sum(volume) as revenue from  (   select    n1.n_name as supp_nation,    n2.n_name as cust_nation,    extract(year from l_shipdate) as l_year,    l_extendedprice * (1 - l_discount) as volume   from    supplier,    lineitem,    orders,    customer,    nation n1,    nation n2   where    s_suppkey = l_suppkey    and o_orderkey = l_orderkey    and c_custkey = o_custkey    and s_nationkey = n1.n_nationkey    and c_nationkey = n2.n_nationkey    and (     (n1.n_name = 'FRANCE' and n2.n_name = 'GERMANY')     or (n1.n_name = 'GERMANY' and n2.n_name = 'FRANCE')    )    and l_shipdate between date '1995-01-01' and date '1996-12-31'  ) as shipping group by  supp_nation,  cust_nation,  l_year order by  supp_nation,  cust_nation,  l_year;
8;64;3185.63;25.134;6387712;1908652;66137088;52428800;104857600;524288000;300350464;1747968;6169600;8135680;11659264;0;0;9.02292e+06;25;region,nation,customer,orders,lineitem,supplier,part;select  o_year,  sum(case   when nation = 'BRAZIL' then volume   else 0  end) / sum(volume) as mkt_share from  (   select    extract(year from o_orderdate) as o_year,    l_extendedprice * (1 - l_discount) as volume,    n2.n_name as nation   from    part,    supplier,    lineitem,    orders,    customer,    nation n1,    nation n2,    region   where    p_partkey = l_partkey    and s_suppkey = l_suppkey    and l_orderkey = o_orderkey    and o_custkey = c_custkey    and c_nationkey = n1.n_nationkey    and n1.n_regionkey = r_regionkey    and r_name = 'AMERICA'    and s_nationkey = n2.n_nationkey    and o_orderdate between date '1995-01-01' and date '1996-12-31'    and p_type = 'ECONOMY ANODIZED STEEL'  ) as all_nations group by  o_year order by  o_year;
10;64;3561.63;41.36;9797632;5214953;64825344;52428800;104857600;524288000;300350464;1747968;6040576;11545600;12437504;0;0;5.78694e+07;19;nation,lineitem,orders,customer;select  c_custkey,  c_name,  sum(l_extendedprice * (1 - l_discount)) as revenue,  c_acctbal,  n_name,  c_address,  c_phone,  c_comment from  customer,  orders,  lineitem,  nation where  c_custkey = o_custkey  and l_orderkey = o_orderkey  and o_orderdate >= date '1993-10-01'  and o_orderdate < date '1993-10-01' + NUMTOYMINTERVAL(3,'month')  and l_returnflag = 'R'  and c_nationkey = n_nationkey group by  c_custkey,  c_name,  c_acctbal,  c_phone,  n_name,  c_address,  c_comment order by  revenue desc limit 20 ;
11;64;2675.41;2.091;883712;178494;16706560;52428800;104857600;524288000;300350464;1747968;2447360;2631680;1895424;0;0;1.36118e+07;17;nation,supplier,partsupp;select  ps_partkey,  sum(ps_supplycost * ps_availqty) as value from  partsupp,  supplier,  nation where  ps_suppkey = s_suppkey  and s_nationkey = n_nationkey  and n_name = 'GERMANY' group by  ps_partkey having   sum(ps_supplycost * ps_availqty) > (    select     sum(ps_supplycost * ps_availqty) * 0.0001/100    from     partsupp,     supplier,     nation    where     ps_suppkey = s_suppkey     and s_nationkey = n_nationkey     and n_name = 'GERMANY'   ) order by  value desc;
12;64;6547.47;10.531;5160960;2926453;54837248;52428800;104857600;524288000;300350464;1747968;3869696;6908928;8132608;0;0;5.98185e+06;10;lineitem,orders;select  l_shipmode,  sum(case   when o_orderpriority = '1-URGENT'    or o_orderpriority = '2-HIGH'    then 1   else 0  end) as high_line_count,  sum(case   when o_orderpriority <> '1-URGENT'    and o_orderpriority <> '2-HIGH'    then 1   else 0  end) as low_line_count from  orders,  lineitem where  o_orderkey = l_orderkey  and l_shipmode in ('MAIL', 'SHIP')  and l_commitdate < l_receiptdate  and l_shipdate < l_commitdate  and l_receiptdate >= date '1994-01-01'  and l_receiptdate < date '1994-01-01' + NUMTOYMINTERVAL(1,'year') group by  l_shipmode order by  l_shipmode;
