query_id;plan_id;dop;query_dop;operator_type;execution_time;total_time;start_time;estimate_costs;estimate_rows;actual_rows;l_input_rows;r_input_rows;nloops;peak_mem;cstore_buffers;instance_mem;width;table_names;index_names;filter;join_names;predicate_cost;agg_col;agg_width;disk_ratio;agg_groups;build_time;hash_time;hash_table_size;jointype;hash_width;stream_data_send_time;stream_quota_time;stream_poll_time;stream_data_copy_time;up_dop;down_dop;child_plan;is_executed
1;0;1;64;Row Adapter;0.006;12849.6;12849.6;0;6;4;4;0;1;92;104857600;524288000;280;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;1;1
1;1;1;64;Vector Sort;0.721;12849.6;12849.6;0.015;6;4;4;0;1;492;104857600;524288000;280;none;;;;0;2;0;0;0;0;0;0;none;0;0;0;0;0;0;0;2;1
1;2;1;64;Vector Streaming LOCAL GATHER;0.538;12848.9;12847.3;0.272408;6;4;4;0;1;325;104857600;524288000;280;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;12848.4;0.073;1;8;3;1
1;3;8;64;Vector Sonic Hash Aggregate;2.234;12841.5;12839.6;0.00164063;6;4;256;0;1;25532;104857600;524288000;280;none;;;;0;2;0;0;256;0.394;1.966;972;none;0;0.465;0;0;0.44;0;0;4;1
1;4;8;64;Vector Streaming LOCAL REDISTRIBUTE;4.27412;12839.2;10418.6;0.941953;6;256;256;0;1;5611;104857600;524288000;280;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;12832.3;1.50413;8;64;5;1
1;5;64;64;Vector Sonic Hash Aggregate;5008.48;12831.2;10414.9;0.00164063;6;256;600025596;0;1;209408;104857600;524288000;280;none;;;;0;2;232;0;256;841.339;4279.96;972;none;0;2.77;0;0;2.641;0;0;6;1
1;6;64;64;CStore Scan;7822.75;7822.75;53.932;288021;599880467;600025596;600037902;0;1;79296;104857600;524288000;48;lineitem;;(l_shipdate <= '1998-11-28 00:00:00'::timestamp without time zone);;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;;1
3;0;1;64;Row Adapter;0.011;16178.9;16178.9;0;10;10;10;0;1;38;104857600;524288000;78;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;1;1
3;1;1;64;Vector Limit;0.008;16178.9;16178.9;0.025;10;10;10;0;1;3;104857600;524288000;78;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;2;1
3;2;1;64;Vector Sort;2.284;16178.9;16178.9;0.025;10;10;640;0;1;302;104857600;524288000;78;none;;;;0;2;0;0;0;0;0;0;none;0;0;0;0;0;0;0;3;1
3;9;32;64;CStore Scan;4505.36;4505.36;47.716;288021;325048909;323494519;600037902;0;1;25664;104857600;524288000;30;lineitem;;(l_shipdate > '1995-03-15 00:00:00'::timestamp(0) without time zone);;0;0;0;0;0;0;0;0;none;0;9548.16;4387.64;0;2441.64;0;0;;1
3;8;64;64;Vector Streaming LOCAL REDISTRIBUTE;5810.81;12159.3;0.238;658929;325048909;323494519;323494519;0;1;22144;104857600;524288000;30;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;11372.7;650.296;64;32;9;1
3;13;32;64;CStore Scan;567.663;567.663;7.345;107219;72555238;72874383;150000000;0;1;22304;104857600;524288000;32;orders;;(o_orderdate < '1995-03-15 00:00:00'::timestamp(0) without time zone);;0;0;0;0;0;0;0;0;none;0;2059.07;119.426;0;462.478;0;0;;1
3;12;64;64;Vector Streaming LOCAL REDISTRIBUTE;1970.84;2701.96;7.633;238948;72555238;72874383;72874383;0;1;20736;104857600;524288000;32;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;2617.22;31.1973;64;32;13;1
3;15;64;64;CStore Scan;26.172;26.172;0.567;68597.7;2981500;3000188;15000000;0;1;27648;104857600;524288000;8;customer;;(c_mktsegment = 'BUILDING'::bpchar);;0;0;0;0;0;0;0;0;none;0;49.45;0;0;14.862;0;0;;1
3;14;64;64;Vector Streaming LOCAL REDISTRIBUTE;49.8302;70.057;7.036;134422;2981500;3000188;3000188;0;1;35968;104857600;524288000;8;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;34.5943;0.380203;64;64;15;1
3;11;64;64;Vector Sonic Hash Join;72.873;2844.89;57.266;247563;27929986;14567861;72874383;3000188;1;58779;104857600;524288000;24;none;;;(orders.o_custkey = customer.c_custkey);0;0;0;0;0;8.308;2784.68;93755.9;Inner;8;192.733;4.748;0;61.514;0;0;12,14;1
3;10;64;64;Vector Streaming LOCAL REDISTRIBUTE;193.073;2737.95;271.749;337020;27929986;14567861;14567861;0;1;37184;104857600;524288000;24;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;2573.09;5.0882;64;64;11;1
3;7;64;64;Vector Sonic Hash Join;605.799;15503;2548.95;738840;389536107;2987578;323494519;14567861;1;523385;104857600;524288000;46;none;;;(lineitem.l_orderkey = orders.o_orderkey);0;0;0;0;0;33.132;12775.2;682868;Inner;24;0;0;0;0;0;0;8,10;1
3;6;64;64;Vector Sonic Hash Aggregate;684.512;16187.6;15930.6;2.95651e+06;389536107;1131041;2987578;0;1;3255663;104857600;524288000;78;none;;;;0;3;32;0.330956;6.0865e+06;180.773;28.821;2.44887e+06;none;0;0;0;0;0;0;0;7;1
3;5;64;64;Vector Sort;19.208;16206.8;15953.4;973840;389536107;640;1131041;0;1;19328;104857600;524288000;78;none;;;;0;2;0;0;0;0;0;0;none;0;0;0;0;0;0;0;6;1
3;4;64;64;Vector Limit;0.006;16206.8;15953.5;0.025;10;640;640;0;1;192;104857600;524288000;78;none;;;;0;0;0;0;0;0;0;0;none;0;0.338;0;0;0.299;0;0;5;1
