query_id;plan_id;dop;query_dop;operator_type;execution_time;total_time;start_time;estimate_costs;estimate_rows;actual_rows;l_input_rows;r_input_rows;nloops;peak_mem;cstore_buffers;instance_mem;width;table_names;index_names;filter;join_names;predicate_cost;agg_col;agg_width;disk_ratio;agg_groups;build_time;hash_time;hash_table_size;jointype;hash_width;stream_data_send_time;stream_quota_time;stream_poll_time;stream_data_copy_time;up_dop;down_dop;child_plan;is_executed
1;0;1;64;Row Adapter;0.01;6714.25;6714.25;0;6;4;4;0;1;92;104857600;524288000;280;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;1;1
1;1;1;64;Vector Sort;0.191;6714.24;6714.24;0.015;6;4;4;0;1;492;104857600;524288000;280;none;;;;0;2;0;0;0;0;0;0;none;0;0;0;0;0;0;0;2;1
1;2;1;64;Vector Streaming LOCAL GATHER;0.097;6714.05;6711.56;0.272408;6;4;4;0;1;525;104857600;524288000;280;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;6713.83;0.041;1;32;3;1
1;3;32;64;Vector Sonic Hash Aggregate;0.207;6712.87;6708.67;0.00164063;6;4;128;0;1;101828;104857600;524288000;280;none;;;;0;2;0;0;128;0.037;0.076;486;none;0;0.056;0;0;0.043;0;0;4;1
1;4;32;64;Vector Streaming LOCAL REDISTRIBUTE;0.266969;6712.67;6468.15;0.941953;6;128;128;0;1;12595;104857600;524288000;280;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;6709.64;0.0149687;32;32;5;1
1;5;32;64;Vector Sonic Hash Aggregate;5210.54;6708.93;6467.54;0.00164063;6;128;600025596;0;1;104704;104857600;524288000;280;none;;;;0;2;232;0;128;990.423;4215.31;486;none;0;0.252;0;0;0.236;0;0;6;1
1;6;32;64;CStore Scan;1498.38;1498.38;30.835;288021;599981992;600025596;600037902;0;1;39648;104857600;524288000;48;lineitem;;(l_shipdate <= '1998-11-28 00:00:00'::timestamp without time zone);;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;;1
3;0;1;64;Row Adapter;0.012;3121.09;3121.09;0;10;10;10;0;1;38;104857600;524288000;78;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;1;1
3;1;1;64;Vector Limit;0.002;3121.08;3121.08;0.025;10;10;10;0;1;3;104857600;524288000;78;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;0;0;0;0;2;1
3;2;1;64;Vector Sort;0.272;3121.08;3121.08;0.025;10;10;960;0;1;302;104857600;524288000;78;none;;;;0;2;0;0;0;0;0;0;none;0;0;0;0;0;0;0;3;1
3;9;96;64;CStore Scan;793.058;793.058;18.254;288021;321100916;323494519;600037902;0;1;76992;104857600;524288000;30;lineitem;;(l_shipdate > '1995-03-15 00:00:00'::timestamp(0) without time zone);;0;0;0;0;0;0;0;0;none;0;2934.68;1375.01;0;1046.28;0;0;;1
3;8;96;64;Vector Streaming LOCAL REDISTRIBUTE;1645.88;2472.49;0.086;655189;321100916;323494519;323494519;0;1;84576;104857600;524288000;30;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;2324.86;86.2125;96;96;9;1
3;13;96;64;CStore Scan;670.176;670.176;2.758;107219;73288983;72874383;150000000;0;1;66912;104857600;524288000;32;orders;;(o_orderdate < '1995-03-15 00:00:00'::timestamp(0) without time zone);;0;0;0;0;0;0;0;0;none;0;805.253;225.402;0;303.492;0;0;;1
3;12;96;64;Vector Streaming LOCAL REDISTRIBUTE;584.803;1092.28;0.075;239643;73288983;72874383;72874383;0;1;82368;104857600;524288000;32;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;1003.88;4.95199;96;96;13;1
3;15;96;64;CStore Scan;17.843;17.843;0.19;68625;2949500;3000188;15000000;0;1;41472;104857600;524288000;8;customer;;(c_mktsegment = 'BUILDING'::bpchar);;0;0;0;0;0;0;0;0;none;0;69.172;0;0;60.702;0;0;;1
3;14;96;64;Vector Streaming LOCAL REDISTRIBUTE;69.3593;110.121;0.055;134419;2949500;3000188;3000188;0;1;79584;104857600;524288000;8;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;19.4369;0.187333;96;96;15;1
3;11;96;64;Vector Sonic Hash Join;58.151;1260.56;2.128;248524;29355061;14567861;72874383;3000188;1;69024;104857600;524288000;24;none;;;(orders.o_custkey = customer.c_custkey);0;0;0;0;0;20.215;1135.64;93755.9;Inner;8;294.908;62.494;0;204.42;0;0;12,14;1
3;10;96;64;Vector Streaming LOCAL REDISTRIBUTE;233.695;747.128;0.139;339331;29355061;14567861;14567861;0;1;81408;104857600;524288000;24;none;;;;0;0;0;0;0;0;0;0;none;0;0;0;443.313;1.28091;96;96;11;1
3;7;96;64;Vector Sonic Hash Join;238.131;3457.74;321.876;734325;386054097;2987578;323494519;14567861;1;561667;104857600;524288000;46;none;;;(lineitem.l_orderkey = orders.o_orderkey);0;0;0;0;0;3.961;2707.02;682868;Inner;24;0;0;0;0;0;0;8,10;1
3;6;96;64;Vector Sonic Hash Aggregate;111.174;3568.92;3098.03;2.87776e+06;386054097;1131041;2987578;0;1;4747947;104857600;524288000;78;none;;;;0;3;32;0.324921;6.0321e+06;9.664;17.298;2.42698e+06;none;0;0;0;0;0;0;0;7;1
