Query ID;Query DOP;Query ID (Mapped);Actual Execution Time (s);Predicted Execution Time (s);Actual Memory Usage (MB);Predicted Memory Usage (MB);Execution Time Q-error;Memory Q-error;Time Calculation Duration (s);Memory Calculation Duration (s)
1;8;1;56.804;56.781206999999995;280.576;64.404;0.0004014180255098587;3.3564995962983666;0.0009334087371826172;0.0006253719329833984
1;16;2;28.3123;28.265044000000003;569.344;128.503;0.001671888428689483;3.430589169124456;0.0006761550903320312;0.00045037269592285156
1;32;3;15.8672;15.750632;1193.984;259.884;0.007400845883517526;3.594295916639732;0.0005927085876464844;0.0002560615539550781
1;64;4;10.9018;10.676999;2707.456;535.479;0.021054698984237064;4.056138522705839;0.0006089210510253906;0.0002522468566894531
1;96;5;11.691;11.410312;4850.688;828.165;0.024599502625344494;4.857151654561591;0.0006005764007568359;0.00022983551025390625
1;128;6;12.3751;12.054167999999999;6604.8;1137.808;0.026624151911604388;4.804845808783204;0.000629425048828125;0.00029206275939941406
1;160;7;13.0788;12.520697;8272.896;1464.957;0.04457443543278772;4.647193740157561;0.0005578994750976562;0.000186920166015625
3;8;8;56.0801;86.54933899999997;4249.6;4120.088;0.5433164170534643;0.03143428004450399;0.001180887222290039;0.0005619525909423828
3;16;9;29.5565;45.40196000000001;5062.656;4559.848;0.5361074552128975;0.11026858790029848;0.0011587142944335938;0.0005016326904296875
3;32;10;15.3978;23.637718999999997;6752.256;5448.1;0.5351361233422955;0.23937813182577417;0.0011696815490722656;0.00041484832763671875
3;64;11;12.842600000000001;19.088915000000004;8414.208;4132.025;0.4863746437637242;1.0363400511855567;0.0012707710266113281;0.0004520416259765625
3;96;12;14.036700000000002;23.569538;11753.472;4770.875;0.6791366916725441;1.4635883354730526;0.0012359619140625;0.00037360191345214844
3;128;13;22.0962;28.487427000000004;23196.672;21308.496;0.2892455263801017;0.08861141584089283;0.0011932849884033203;0.0003581047058105469
3;160;14;21.6406;30.965770999999997;26045.44;23428.068;0.4309109266841029;0.1117194981677534;0.0013391971588134766;0.0003464221954345703
4;8;15;54.850199999999994;65.268836;5277.696;5416.079;0.18994709226219775;0.026220343119421896;0.0011415481567382812;0.0005404949188232422
4;16;16;28.3079;35.761109000000005;5684.224;5450.413;0.2632907774861435;0.04289785012621983;0.0011334419250488281;0.0005002021789550781
4;32;17;13.6998;16.473741999999998;2291.712;599.646;0.20248047416750614;2.8217748471598245;0.0009889602661132812;0.000385284423828125
4;64;18;9.31061;11.076450999999997;4362.24;769.109;0.18965900193435203;4.671809847498859;0.0009741783142089844;0.00033855438232421875
4;96;19;11.325;17.678061999999997;6152.192;981.207;0.5609767770419425;5.270024571777413;0.0009713172912597656;0.0002849102020263672
4;128;20;12.3092;14.252738;9145.344;1259.731;0.15789312059272742;6.2597594248295865;0.0009670257568359375;0.00026679039001464844
4;160;21;14.8455;15.901575000000001;11339.776;1591.907;0.07113771850055572;6.123391002112561;0.0009884834289550781;0.00026035308837890625
5;8;22;23.663700000000002;28.420657000000006;2034.688;1792.217;0.2010233818041982;0.13529109477256385;0.002033233642578125;0.0008373260498046875
5;16;23;14.2585;18.051519000000003;4122.624;3564.985;0.2660180944699655;0.15642113501178834;0.0020041465759277344;0.0007691383361816406
