query_id,plan_id,operator_type,width,dop,left_child,parent_child
3,0,Row Adapter,113,2,1,-1
3,1,Vector Aggregate,113,2,2,0
3,2,Vector Sonic Hash Join,45,2,3,1
3,3,Vector Sonic Hash Join,49,2,4,2
3,4,CStore Scan,8,2,-1,3
3,5,Vector Sonic Hash Join,53,2,6,3
3,6,Vector Sonic Hash Join,28,2,7,5
3,7,CStore Scan,32,2,-1,6
3,8,CStore Scan,4,2,-1,6
3,9,CStore Scan,25,2,-1,5
3,10,CStore Scan,4,2,-1,2
8,0,Row Adapter,49,2,1,-1
8,1,Vector Aggregate,49,2,2,0
8,2,Vector Sonic Hash Join,17,2,3,1
8,3,Vector Sonic Hash Join,21,2,4,2
8,4,CStore Scan,8,2,-1,3
8,5,Vector Nest Loop,25,2,6,3
8,6,Vector Nest Loop,4,2,7,5
8,7,CStore Scan,4,2,-1,6
8,8,CStore Index Scan,8,2,-1,6
8,9,CStore Index Scan,21,2,-1,5
8,10,CStore Scan,4,2,-1,2
9,0,Row Adapter,49,2,1,-1
9,1,Vector Aggregate,49,2,2,0
9,2,Vector Sonic Hash Join,17,2,3,1
9,3,Vector Streaming LOCAL GATHER,4,2,4,2
9,4,CStore Scan,4,28,-1,3
9,5,Vector Sonic Hash Join,25,2,6,2
9,6,CStore Scan,21,2,-1,5
9,7,Vector Nest Loop,4,2,8,5
9,8,CStore Scan,4,2,-1,7
9,9,CStore Index Scan,8,2,-1,7
12,0,Row Adapter,87,2,1,-1
12,1,Vector Aggregate,87,2,2,0
12,2,Vector Sonic Hash Join,23,2,3,1
12,3,CStore Scan,21,2,-1,2
12,4,Vector Sonic Hash Join,14,2,5,2
12,5,Vector Sonic Hash Join,18,2,6,4
12,6,CStore Scan,14,2,-1,5
12,7,Vector Nest Loop,4,2,8,5
12,8,CStore Scan,4,2,-1,7
12,9,CStore Index Scan,8,2,-1,7
12,10,CStore Scan,4,2,-1,4
14,0,Row Adapter,87,2,1,-1
14,1,Vector Aggregate,87,2,2,0
14,2,Vector Sonic Hash Join,23,2,3,1
14,3,CStore Scan,21,2,-1,2
14,4,Vector Sonic Hash Join,14,2,5,2
14,5,Vector Sonic Hash Join,18,2,6,4
14,6,CStore Scan,14,2,-1,5
14,7,Vector Nest Loop,4,2,8,5
14,8,CStore Scan,4,2,-1,7
14,9,CStore Index Scan,8,2,-1,7
14,10,CStore Scan,4,2,-1,4
20,0,Row Adapter,144,2,1,-1
20,1,Vector Aggregate,144,2,2,0
20,2,Vector Nest Loop,48,2,3,1
20,3,Vector Sonic Hash Join,39,2,4,2
20,4,CStore Scan,19,2,-1,3
20,5,Vector Nest Loop,28,2,6,3
20,6,Vector Nest Loop,20,2,7,5
20,7,CStore Scan,20,2,-1,6
20,8,CStore Index Scan,8,2,-1,6
20,9,CStore Index Scan,8,2,-1,5
20,10,CStore Index Scan,21,2,-1,2
23,0,Row Adapter,144,2,1,-1
23,1,Vector Aggregate,144,2,2,0
23,2,Vector Sonic Hash Join,48,2,3,1
23,3,Vector Streaming LOCAL GATHER,37,2,4,2
23,4,Vector Sonic Hash Join,37,16,5,3
23,5,CStore Scan,8,16,-1,4
23,6,Vector Streaming BROADCAST,41,16,7,4
23,7,Vector Sonic Hash Join,41,2,8,6
23,8,CStore Scan,21,2,-1,7
23,9,Vector Nest Loop,20,2,10,7
23,10,Vector Hash Join,20,2,11,9
23,11,CStore Scan,20,2,-1,10
23,12,Vector Adapter,32,2,13,10
23,13,Values Scan,32,2,-1,12
23,14,CStore Index Scan,8,2,-1,9
23,15,CStore Scan,19,2,-1,2
29,0,Row Adapter,97,2,1,-1
29,1,Vector Aggregate,97,2,2,0
29,2,Vector Sonic Hash Join,33,2,3,1
29,3,CStore Scan,20,2,-1,2
29,4,Vector Sonic Hash Join,25,2,5,2
29,5,Vector Sonic Hash Join,29,2,6,4
29,6,Vector Sonic Hash Join,25,2,7,5
29,7,CStore Scan,8,2,-1,6
29,8,Vector Sonic Hash Join,29,2,9,6
29,9,Vector Streaming LOCAL GATHER,8,2,10,8
29,10,Vector Sonic Hash Join,8,8,11,9
29,11,CStore Scan,12,8,-1,10
29,12,Vector Streaming BROADCAST,4,8,13,10
29,13,CStore Scan,4,8,-1,12
29,14,CStore Scan,21,2,-1,8
29,15,CStore Scan,4,2,-1,5
29,16,CStore Scan,4,2,-1,4
31,0,Row Adapter,145,2,1,-1
31,1,Vector Aggregate,145,2,2,0
31,2,Vector Nest Loop,49,2,3,1
31,3,Vector Nest Loop,41,2,4,2
31,4,Vector Nest Loop,45,2,5,3
31,5,Vector Nest Loop,36,2,6,4
31,6,Vector Nest Loop,28,2,7,5
31,7,Vector Sonic Hash Join,16,2,8,6
31,8,Vector Sonic Hash Join,12,2,9,7
31,9,Vector Streaming LOCAL GATHER,16,2,10,8
31,10,CStore Scan,16,8,-1,9
31,11,CStore Scan,4,2,-1,8
31,12,CStore Scan,4,2,-1,7
31,13,CStore Index Scan,20,2,-1,6
31,14,CStore Index Scan,8,2,-1,5
31,15,CStore Index Scan,21,2,-1,4
31,16,CStore Index Scan,4,2,-1,3
31,17,CStore Index Scan,20,2,-1,2
34,0,Row Adapter,192,2,1,-1
34,1,Vector Aggregate,192,2,2,0
34,2,Vector Sonic Hash Join,64,2,3,1
34,3,Vector Sonic Hash Join,68,2,4,2
34,4,CStore Scan,20,2,-1,3
34,5,Vector Sonic Hash Join,60,2,6,3
34,6,Vector Sonic Hash Join,41,2,7,5
34,7,CStore Scan,8,2,-1,6
34,8,Vector Sonic Hash Join,45,2,9,6
34,9,CStore Scan,21,2,-1,8
34,10,Vector Sonic Hash Join,24,2,11,8
34,11,Vector Sonic Hash Join,12,2,12,10
34,12,Vector Streaming LOCAL GATHER,16,2,13,11
34,13,CStore Scan,16,8,-1,12
34,14,CStore Scan,4,2,-1,11
34,15,CStore Scan,20,2,-1,10
34,16,CStore Scan,19,2,-1,5
34,17,CStore Scan,4,2,-1,2
36,0,Row Adapter,97,2,1,-1
36,1,Vector Aggregate,97,2,2,0
36,2,Vector Nest Loop,33,2,3,1
36,3,Vector Sonic Hash Join,24,2,4,2
36,4,Vector Nest Loop,28,2,5,3
36,5,Vector Sonic Hash Join,16,2,6,4
36,6,Vector Sonic Hash Join,8,2,7,5
36,7,Vector Streaming LOCAL GATHER,12,2,8,6
36,8,CStore Scan,12,8,-1,7
36,9,CStore Scan,4,2,-1,6
36,10,Vector Sonic Hash Join,8,2,11,5
36,11,CStore Scan,12,2,-1,10
36,12,CStore Scan,4,2,-1,10
36,13,CStore Index Scan,20,2,-1,4
36,14,CStore Scan,4,2,-1,3
36,15,CStore Index Scan,21,2,-1,2
38,0,Row Adapter,144,2,1,-1
38,1,Vector Aggregate,144,2,2,0
38,2,Vector Sonic Hash Join,48,2,3,1
38,3,Vector Sonic Hash Join,52,2,4,2
38,4,CStore Scan,23,2,-1,3
38,5,Vector Nest Loop,37,2,6,3
38,6,Vector Nest Loop,32,2,7,5
38,7,Vector Sonic Hash Join,20,2,8,6
38,8,Vector Nest Loop,4,2,9,7
38,9,CStore Scan,4,2,-1,8
38,10,CStore Index Scan,8,2,-1,8
38,11,Vector Sonic Hash Join,16,2,12,7
38,12,CStore Scan,8,2,-1,11
38,13,CStore Scan,16,2,-1,11
38,14,CStore Index Scan,12,2,-1,6
38,15,CStore Index Scan,21,2,-1,5
38,16,CStore Scan,4,2,-1,2
39,0,Row Adapter,144,2,1,-1
39,1,Vector Aggregate,144,2,2,0
39,2,Vector Sonic Hash Join,48,2,3,1
39,3,Vector Nest Loop,52,2,4,2
39,4,Vector Nest Loop,37,2,5,3
39,5,Vector Nest Loop,32,2,6,4
39,6,Vector Sonic Hash Join,20,2,7,5
39,7,Vector Nest Loop,4,2,8,6
39,8,CStore Scan,4,2,-1,7
39,9,CStore Index Scan,8,2,-1,7
39,10,Vector Sonic Hash Join,16,2,11,6
39,11,CStore Scan,8,2,-1,10
39,12,CStore Scan,16,2,-1,10
39,13,CStore Index Scan,12,2,-1,5
39,14,CStore Index Scan,21,2,-1,4
39,15,CStore Index Scan,23,2,-1,3
39,16,CStore Scan,4,2,-1,2
47,0,Aggregate,96,2,1,-1
47,1,Result,0,2,-1,0
51,0,Row Adapter,87,2,1,-1
51,1,Vector Aggregate,87,2,2,0
51,2,Vector Sonic Hash Join,23,2,3,1
51,3,Vector Nest Loop,27,2,4,2
51,4,Vector Sonic Hash Join,18,2,5,3
51,5,Vector Sonic Hash Join,22,2,6,4
51,6,Vector Streaming LOCAL GATHER,8,2,7,5
51,7,CStore Scan,8,28,-1,6
51,8,Vector Sonic Hash Join,14,2,9,5
51,9,Vector Sonic Hash Join,18,2,10,8
51,10,CStore Scan,14,2,-1,9
51,11,Vector Nest Loop,4,2,12,9
51,12,Vector Hash Join,4,2,13,11
51,13,CStore Scan,20,2,-1,12
51,14,Vector Adapter,32,2,15,12
51,15,Values Scan,32,2,-1,14
51,16,CStore Index Scan,8,2,-1,11
51,17,CStore Scan,4,2,-1,8
51,18,CStore Scan,4,2,-1,4
51,19,CStore Index Scan,25,2,-1,3
51,20,CStore Scan,4,2,-1,2
52,0,Row Adapter,126,2,1,-1
52,1,Vector Aggregate,126,2,2,0
52,2,Vector Sonic Hash Join,62,2,3,1
52,3,CStore Scan,4,2,-1,2
52,4,Vector Nest Loop,66,2,5,2
52,5,Vector Nest Loop,78,2,6,4
52,6,Vector Nest Loop,74,2,7,5
52,7,Vector Sonic Hash Join,53,2,8,6
52,8,Vector Nest Loop,57,2,9,7
52,9,Vector Nest Loop,61,2,10,8
52,10,Vector Sonic Hash Join,49,2,11,9
52,11,Vector Streaming LOCAL GATHER,53,2,12,10
52,12,CStore Scan,53,8,-1,11
52,13,CStore Scan,4,2,-1,10
52,14,CStore Index Scan,12,2,-1,9
52,15,CStore Index Scan,4,2,-1,8
52,16,CStore Scan,4,2,-1,7
52,17,CStore Index Scan,21,2,-1,6
52,18,CStore Index Only Scan,4,2,-1,5
52,19,CStore Index Scan,8,2,-1,4
62,0,Row Adapter,79,2,1,-1
62,1,Vector Aggregate,79,2,2,0
62,2,Vector Sonic Hash Join,15,2,3,1
62,3,Vector Nest Loop,19,2,4,2
62,4,Vector Nest Loop,27,2,5,3
62,5,Vector Sonic Hash Join,23,2,6,4
62,6,CStore Scan,19,2,-1,5
62,7,Vector Nest Loop,12,2,8,5
62,8,Vector Nest Loop,4,2,9,7
62,9,CStore Scan,4,2,-1,8
62,10,CStore Index Scan,8,2,-1,8
62,11,CStore Index Scan,8,2,-1,7
62,12,CStore Index Only Scan,4,2,-1,4
62,13,CStore Index Scan,8,2,-1,3
62,14,CStore Scan,4,2,-1,2
67,0,Row Adapter,164,2,1,-1
67,1,Vector Aggregate,164,2,2,0
67,2,Vector Sonic Hash Join,68,2,3,1
67,3,Vector Sonic Hash Join,72,2,4,2
67,4,Vector Streaming LOCAL GATHER,8,2,5,3
67,5,CStore Scan,8,32,-1,4
67,6,Vector Sonic Hash Join,80,2,7,3
67,7,Vector Sonic Hash Join,70,2,8,6
67,8,Vector Sonic Hash Join,49,2,9,7
67,9,Vector Streaming LOCAL GATHER,53,2,10,8
67,10,CStore Scan,53,8,-1,9
67,11,CStore Scan,4,2,-1,8
67,12,CStore Scan,21,2,-1,7
67,13,Vector Sonic Hash Join,10,2,14,6
67,14,CStore Scan,14,2,-1,13
67,15,CStore Scan,4,2,-1,13
67,16,CStore Scan,4,2,-1,2
69,0,Row Adapter,96,2,1,-1
69,1,Vector Aggregate,96,2,2,0
69,2,Vector Nest Loop,32,2,3,1
69,3,Vector Nest Loop,27,2,4,2
69,4,Vector Nest Loop,31,2,5,3
69,5,Vector Sonic Hash Join,39,2,6,4
69,6,Vector Nest Loop,43,2,7,5
69,7,Vector Nest Loop,35,2,8,6
69,8,Vector Nest Loop,27,2,9,7
69,9,Vector Sonic Hash Join,31,2,10,8
69,10,Vector Sonic Hash Join,12,2,11,9
69,11,Vector Streaming LOCAL GATHER,16,2,12,10
69,12,CStore Scan,16,8,-1,11
69,13,CStore Scan,4,2,-1,10
69,14,CStore Scan,19,2,-1,9
69,15,CStore Index Only Scan,4,2,-1,8
69,16,CStore Index Scan,8,2,-1,7
69,17,CStore Index Scan,8,2,-1,6
69,18,CStore Scan,4,2,-1,5
69,19,CStore Index Only Scan,4,2,-1,4
69,20,CStore Index Scan,4,2,-1,3
69,21,CStore Index Scan,21,2,-1,2
71,0,Row Adapter,96,2,1,-1
71,1,Vector Aggregate,96,2,2,0
71,2,Vector Sonic Hash Join,32,2,3,1
71,3,Vector Nest Loop,36,2,4,2
71,4,Vector Nest Loop,44,2,5,3
71,5,Vector Nest Loop,52,2,6,4
71,6,Vector Nest Loop,31,2,7,5
71,7,Vector Nest Loop,12,2,8,6
71,8,Vector Sonic Hash Join,16,2,9,7
71,9,Vector Sonic Hash Join,4,2,10,8
71,10,Vector Streaming LOCAL GATHER,8,2,11,9
71,11,CStore Scan,8,8,-1,10
71,12,CStore Scan,4,2,-1,9
71,13,Vector Sonic Hash Join,12,2,14,8
71,14,Vector Streaming LOCAL GATHER,16,2,15,13
71,15,CStore Scan,16,8,-1,14
71,16,CStore Scan,4,2,-1,13
71,17,CStore Index Only Scan,4,2,-1,7
71,18,CStore Index Scan,19,2,-1,6
71,19,CStore Index Scan,21,2,-1,5
71,20,CStore Index Only Scan,4,2,-1,4
71,21,CStore Index Scan,8,2,-1,3
71,22,CStore Scan,4,2,-1,2
93,0,Row Adapter,135,2,1,-1
93,1,Vector Aggregate,135,2,2,0
93,2,Vector Nest Loop,39,2,3,1
93,3,Vector Sonic Hash Join,43,2,4,2
93,4,Vector Nest Loop,31,2,5,3
93,5,Vector Sonic Hash Join,39,2,6,4
93,6,Vector Sonic Hash Join,43,2,7,5
93,7,Vector Nest Loop,47,2,8,6
93,8,Vector Sonic Hash Join,33,2,9,7
93,9,Vector Sonic Hash Join,37,2,10,8
93,10,Vector Sonic Hash Join,41,2,11,9
93,11,CStore Scan,12,2,-1,10
93,12,Vector Sonic Hash Join,29,2,13,10
93,13,CStore Scan,25,2,-1,12
93,14,Vector Nest Loop,4,2,15,12
93,15,Vector Hash Join,4,2,16,14
93,16,CStore Scan,20,2,-1,15
93,17,Vector Adapter,32,2,18,15
93,18,Values Scan,32,2,-1,17
93,19,CStore Index Scan,8,2,-1,14
93,20,CStore Scan,4,2,-1,9
93,21,CStore Scan,4,2,-1,8
93,22,CStore Index Scan,14,2,-1,7
93,23,CStore Scan,4,2,-1,6
93,24,CStore Scan,4,2,-1,5
93,25,CStore Index Scan,12,2,-1,4
93,26,CStore Scan,20,2,-1,3
93,27,CStore Index Only Scan,4,2,-1,2
98,0,Row Adapter,138,2,1,-1
98,1,Vector Aggregate,138,2,2,0
98,2,Vector Nest Loop,42,2,3,1
98,3,Vector Sonic Hash Join,27,2,4,2
98,4,Vector Nest Loop,31,2,5,3
98,5,Vector Sonic Hash Join,43,2,6,4
98,6,Vector Sonic Hash Join,47,2,7,5
98,7,Vector Nest Loop,51,2,8,6
98,8,Vector Sonic Hash Join,37,2,9,7
98,9,Vector Sonic Hash Join,41,2,10,8
98,10,Vector Sonic Hash Join,45,2,11,9
98,11,CStore Scan,12,2,-1,10
98,12,Vector Nest Loop,33,2,13,10
98,13,Vector Sonic Hash Join,8,2,14,12
98,14,Vector Sonic Hash Join,12,2,15,13
98,15,Vector Streaming LOCAL GATHER,8,2,16,14
98,16,CStore Scan,8,28,-1,15
98,17,Vector Nest Loop,4,2,18,14
98,18,Vector Hash Join,4,2,19,17
98,19,CStore Scan,20,2,-1,18
98,20,Vector Adapter,32,2,21,18
98,21,Values Scan,32,2,-1,20
98,22,CStore Index Scan,8,2,-1,17
98,23,CStore Scan,4,2,-1,13
98,24,CStore Index Scan,25,2,-1,12
98,25,CStore Scan,4,2,-1,9
98,26,CStore Scan,4,2,-1,8
98,27,CStore Index Scan,14,2,-1,7
98,28,CStore Scan,4,2,-1,6
98,29,CStore Scan,4,2,-1,5
98,30,CStore Index Scan,12,2,-1,4
98,31,CStore Scan,4,2,-1,3
98,32,CStore Index Scan,23,2,-1,2
111,0,Row Adapter,276,2,1,-1
111,1,Vector Aggregate,276,2,2,0
111,2,Vector Sonic Hash Join,84,2,3,1
111,3,Vector Sonic Hash Join,69,2,4,2
111,4,CStore Scan,8,2,-1,3
111,5,Vector Sonic Hash Join,77,2,6,3
111,6,Vector Sonic Hash Join,81,2,7,5
111,7,CStore Scan,14,2,-1,6
111,8,Vector Sonic Hash Join,67,2,9,6
111,9,Vector Sonic Hash Join,71,2,10,8
111,10,Vector Sonic Hash Join,56,2,11,9
111,11,CStore Scan,8,2,-1,10
111,12,Vector Sonic Hash Join,64,2,13,10
111,13,Vector Sonic Hash Join,68,2,14,12
111,14,Vector Sonic Hash Join,43,2,15,13
111,15,Vector Sonic Hash Join,47,2,16,14
111,16,CStore Scan,12,2,-1,15
111,17,Vector Sonic Hash Join,35,2,18,15
111,18,CStore Scan,14,2,-1,17
111,19,Vector Sonic Hash Join,21,2,20,17
111,20,CStore Scan,25,2,-1,19
111,21,CStore Scan,4,2,-1,19
111,22,CStore Scan,4,2,-1,14
111,23,CStore Scan,25,2,-1,13
111,24,CStore Scan,4,2,-1,12
111,25,CStore Scan,23,2,-1,9
111,26,CStore Scan,4,2,-1,8
111,27,CStore Scan,4,2,-1,5
111,28,CStore Scan,23,2,-1,2
