query_id,plan_id,operator_type,width,dop,left_child,parent_child
1,0,Row Adapter,280,1,1,-1
1,1,Vector Sort,280,1,2,0
1,2,Vector Streaming LOCAL GATHER,280,1,3,1
1,3,Vector Sonic Hash Aggregate,280,8,4,2
1,4,Vector Streaming LOCAL REDISTRIBUTE,280,8,5,3
1,5,Vector Sonic Hash Aggregate,280,32,6,4
1,6,CStore Scan,48,32,-1,5
3,0,Row Adapter,78,2,1,-1
3,1,Vector Limit,78,2,2,0
3,2,Vector Sort,78,2,3,1
3,3,Vector Streaming LOCAL GATHER,78,2,4,2
3,4,Vector Limit,78,36,5,3
3,5,Vector Sort,78,36,6,4
3,6,Vector Sonic Hash Aggregate,78,36,7,5
3,7,Vector Sonic Hash Join,46,36,8,6
3,8,Vector Streaming LOCAL REDISTRIBUTE,30,36,9,7
3,9,CStore Scan,30,64,-1,8
3,10,Vector Streaming LOCAL REDISTRIBUTE,24,36,11,7
3,11,Vector Sonic Hash Join,24,96,12,10
3,12,Vector Streaming LOCAL REDISTRIBUTE,32,96,13,11
3,13,CStore Scan,32,64,-1,12
3,14,Vector Streaming LOCAL REDISTRIBUTE,8,96,15,11
3,15,CStore Scan,8,32,-1,14
4,0,Row Adapter,24,1,1,-1
4,1,Vector Sort,24,1,2,0
4,2,Vector Streaming LOCAL GATHER,24,1,3,1
4,3,Vector Sonic Hash Aggregate,24,8,4,2
4,4,Vector Streaming LOCAL REDISTRIBUTE,24,8,5,3
4,5,Vector Sonic Hash Aggregate,24,56,6,4
4,6,Vector Hash Join,16,56,7,5
4,7,Vector Streaming LOCAL REDISTRIBUTE,8,56,8,6
4,8,CStore Scan,8,96,-1,7
4,9,Vector Streaming LOCAL REDISTRIBUTE,24,56,10,6
4,10,CStore Scan,24,32,-1,9
5,0,Row Adapter,80,2,1,-1
5,1,Vector Sort,80,2,2,0
5,2,Vector Streaming LOCAL GATHER,80,2,3,1
5,3,Vector Sonic Hash Aggregate,80,8,4,2
5,4,Vector Streaming LOCAL REDISTRIBUTE,80,8,5,3
5,5,Vector Sonic Hash Aggregate,80,64,6,4
5,6,Vector Sonic Hash Join,48,64,7,5
5,7,Vector Streaming LOCAL REDISTRIBUTE,64,64,8,6
5,8,Vector Sonic Hash Join,64,64,9,7
5,9,CStore Scan,38,64,-1,8
5,10,Vector Streaming BROADCAST,42,64,11,8
5,11,Vector Sonic Hash Join,42,8,12,10
5,12,CStore Scan,12,8,-1,11
5,13,Vector Sonic Hash Join,30,8,14,11
5,14,CStore Scan,34,8,-1,13
5,15,CStore Scan,4,8,-1,13
5,16,Vector Streaming LOCAL REDISTRIBUTE,12,64,17,6
5,17,Vector Sonic Hash Join,12,96,18,16
5,18,Vector Streaming LOCAL REDISTRIBUTE,16,96,19,17
5,19,CStore Scan,16,32,-1,18
5,20,Vector Streaming LOCAL REDISTRIBUTE,12,96,21,17
5,21,CStore Scan,12,32,-1,20
6,0,Row Adapter,54,1,1,-1
6,1,Vector Aggregate,54,1,2,0
6,2,Vector Streaming LOCAL GATHER,54,1,3,1
6,3,Vector Aggregate,54,32,4,2
6,4,CStore Scan,22,32,-1,3
7,0,Row Adapter,114,2,1,-1
7,1,Vector Sort,114,2,2,0
7,2,Vector Streaming LOCAL GATHER,114,2,3,1
7,3,Vector Sonic Hash Aggregate,114,8,4,2
7,4,Vector Streaming LOCAL REDISTRIBUTE,114,8,5,3
7,5,Vector Sonic Hash Aggregate,114,32,6,4
7,6,Vector Sonic Hash Join,82,32,7,5
7,7,Vector Streaming LOCAL REDISTRIBUTE,94,32,8,6
7,8,Vector Sonic Hash Join,94,64,9,7
7,9,Vector Streaming LOCAL REDISTRIBUTE,94,64,10,8
7,10,Vector Sonic Hash Join,94,64,11,9
7,11,CStore Scan,46,64,-1,10
7,12,Vector Streaming BROADCAST,64,64,13,10
7,13,Vector Sonic Hash Join,64,2,14,12
7,14,CStore Scan,12,2,-1,13
7,15,Vector Nest Loop,60,2,16,13
7,16,CStore Scan,30,2,-1,15
7,17,Vector Materialize,30,2,18,15
7,18,CStore Scan,30,2,-1,17
7,19,Vector Streaming LOCAL REDISTRIBUTE,16,64,20,8
7,20,CStore Scan,16,64,-1,19
7,21,Vector Streaming LOCAL REDISTRIBUTE,12,32,22,6
7,22,CStore Scan,12,32,-1,21
8,0,Row Adapter,120,2,1,-1
8,1,Vector Sort,120,2,2,0
8,2,Vector Hash Aggregate,120,2,3,1
8,3,Vector Sonic Hash Join,56,2,4,2
8,4,Vector Sonic Hash Join,34,2,5,3
8,5,Vector Streaming LOCAL GATHER,38,2,6,4
8,6,Vector Sonic Hash Join,38,8,7,5
8,7,Vector Streaming LOCAL REDISTRIBUTE,46,8,8,6
8,8,Vector Sonic Hash Join,46,8,9,7
8,9,Vector Streaming LOCAL REDISTRIBUTE,38,8,10,8
8,10,Vector Sonic Hash Join,38,32,11,9
8,11,CStore Scan,46,32,-1,10
8,12,Vector Streaming BROADCAST,8,32,13,10
8,13,CStore Scan,8,32,-1,12
8,14,Vector Streaming LOCAL REDISTRIBUTE,24,8,15,8
8,15,CStore Scan,24,64,-1,14
8,16,Vector Streaming LOCAL REDISTRIBUTE,8,8,17,6
8,17,Vector Sonic Hash Join,8,8,18,16
8,18,CStore Scan,12,8,-1,17
8,19,Vector Streaming BROADCAST,4,8,20,17
8,20,Vector Sonic Hash Join,4,8,21,19
8,21,CStore Scan,8,8,-1,20
8,22,CStore Scan,4,8,-1,20
8,23,CStore Scan,12,2,-1,4
8,24,CStore Scan,30,2,-1,3
10,0,Row Adapter,233,2,1,-1
10,1,Vector Limit,233,2,2,0
10,2,Vector Sort,233,2,3,1
10,3,Vector Streaming LOCAL GATHER,233,2,4,2
10,4,Vector Limit,233,32,5,3
10,5,Vector Sort,233,32,6,4
10,6,Vector Sonic Hash Aggregate,233,32,7,5
10,7,Vector Sonic Hash Join,201,32,8,6
10,8,Vector Streaming LOCAL REDISTRIBUTE,30,32,9,7
10,9,Vector Sonic Hash Join,30,96,10,8
10,10,Vector Streaming LOCAL REDISTRIBUTE,30,96,11,9
10,11,CStore Scan,30,64,-1,10
10,12,Vector Streaming LOCAL REDISTRIBUTE,16,96,13,9
10,13,CStore Scan,16,32,-1,12
10,14,Vector Streaming LOCAL REDISTRIBUTE,179,32,15,7
10,15,Vector Sonic Hash Join,179,32,16,14
10,16,CStore Scan,157,32,-1,15
10,17,Vector Streaming BROADCAST,30,32,18,15
10,18,CStore Scan,30,8,-1,17
11,0,Row Adapter,91,2,1,-1
11,1,Vector Sort,91,2,9,0
11,2,Row Adapter,51,1,3,-1
11,3,Vector Aggregate,51,1,4,2
11,4,Vector Sonic Hash Join,19,1,5,3
11,5,CStore Scan,27,1,-1,4
11,6,Vector Sonic Hash Join,8,1,7,4
11,7,CStore Scan,12,1,-1,6
11,8,CStore Scan,4,1,-1,6
11,9,Vector Hash Aggregate,91,2,10,1
11,10,Vector Streaming LOCAL REDISTRIBUTE,27,2,11,9
11,11,Vector Sonic Hash Join,27,16,12,10
11,12,CStore Scan,35,16,-1,11
11,13,Vector Streaming BROADCAST,8,16,14,11
11,14,Vector Sonic Hash Join,8,8,15,13
11,15,CStore Scan,12,8,-1,14
11,16,CStore Scan,4,8,-1,14
12,0,Row Adapter,43,1,1,-1
12,1,Vector Sort,43,1,2,0
12,2,Vector Streaming LOCAL GATHER,43,1,3,1
12,3,Vector Hash Aggregate,43,8,4,2
12,4,Vector Streaming LOCAL REDISTRIBUTE,43,8,5,3
12,5,Vector Hash Aggregate,43,8,6,4
12,6,Vector Sonic Hash Join,27,8,7,5
12,7,Vector Streaming BROADCAST,19,8,8,6
12,8,CStore Scan,19,96,-1,7
12,9,CStore Scan,24,8,-1,6
13,0,Row Adapter,16,2,1,-1
13,1,Vector Sort,16,2,2,0
13,2,Vector Streaming LOCAL GATHER,16,2,3,1
13,3,Vector Sonic Hash Aggregate,16,8,4,2
13,4,Vector Streaming LOCAL REDISTRIBUTE,16,8,5,3
13,5,Vector Sonic Hash Aggregate,16,56,6,4
13,6,Vector Subquery Scan,8,56,7,5
13,7,Vector Sonic Hash Aggregate,16,56,8,6
13,8,Vector Hash Join,8,56,9,7
13,9,Vector Streaming LOCAL REDISTRIBUTE,8,56,10,8
