query_id,plan_id,operator_type,width,dop,left_child,parent_child
1,0,Row Adapter,280,1,1,-1
1,1,Vector Sort,280,1,2,0
1,2,Vector Streaming LOCAL GATHER,280,1,3,1
1,3,Vector Sonic Hash Aggregate,280,1,4,2
1,4,Vector Streaming LOCAL REDISTRIBUTE,280,1,5,3
1,5,Vector Sonic Hash Aggregate,280,1,6,4
1,6,CStore Scan,48,1,-1,5
3,0,Row Adapter,78,1,1,-1
3,1,Vector Limit,78,1,2,0
3,2,Vector Sort,78,1,3,1
3,3,Vector Streaming LOCAL GATHER,78,1,4,2
3,4,Vector Limit,78,1,5,3
3,5,Vector Sort,78,1,6,4
3,6,Vector Sonic Hash Aggregate,78,1,7,5
3,7,Vector Sonic Hash Join,46,1,8,6
3,8,Vector Streaming LOCAL REDISTRIBUTE,30,1,9,7
3,9,CStore Scan,30,1,-1,8
3,10,Vector Streaming LOCAL REDISTRIBUTE,24,1,11,7
3,11,Vector Sonic Hash Join,24,1,12,10
3,12,Vector Streaming LOCAL REDISTRIBUTE,32,1,13,11
3,13,CStore Scan,32,1,-1,12
3,14,Vector Streaming LOCAL REDISTRIBUTE,8,1,15,11
3,15,CStore Scan,8,1,-1,14
4,0,Row Adapter,24,1,1,-1
4,1,Vector Sort,24,1,2,0
4,2,Vector Streaming LOCAL GATHER,24,1,3,1
4,3,Vector Sonic Hash Aggregate,24,1,4,2
4,4,Vector Streaming LOCAL REDISTRIBUTE,24,1,5,3
4,5,Vector Sonic Hash Aggregate,24,1,6,4
4,6,Vector Hash Join,16,1,7,5
4,7,Vector Streaming LOCAL REDISTRIBUTE,8,1,8,6
4,8,CStore Scan,8,1,-1,7
4,9,Vector Streaming LOCAL REDISTRIBUTE,24,1,10,6
4,10,CStore Scan,24,1,-1,9
5,0,Row Adapter,80,1,1,-1
5,1,Vector Sort,80,1,2,0
5,2,Vector Streaming LOCAL GATHER,80,1,3,1
5,3,Vector Sonic Hash Aggregate,80,1,4,2
5,4,Vector Streaming LOCAL REDISTRIBUTE,80,1,5,3
5,5,Vector Sonic Hash Aggregate,80,1,6,4
5,6,Vector Sonic Hash Join,48,1,7,5
5,7,Vector Streaming LOCAL REDISTRIBUTE,64,1,8,6
5,8,Vector Sonic Hash Join,64,1,9,7
5,9,CStore Scan,38,1,-1,8
5,10,Vector Streaming BROADCAST,42,1,11,8
5,11,Vector Sonic Hash Join,42,1,12,10
5,12,CStore Scan,12,1,-1,11
5,13,Vector Sonic Hash Join,30,1,14,11
5,14,CStore Scan,34,1,-1,13
5,15,CStore Scan,4,1,-1,13
5,16,Vector Streaming LOCAL REDISTRIBUTE,12,1,17,6
5,17,Vector Sonic Hash Join,12,1,18,16
5,18,Vector Streaming LOCAL REDISTRIBUTE,16,1,19,17
5,19,CStore Scan,16,1,-1,18
5,20,Vector Streaming LOCAL REDISTRIBUTE,12,1,21,17
5,21,CStore Scan,12,1,-1,20
6,0,Row Adapter,54,1,1,-1
6,1,Vector Aggregate,54,1,2,0
6,2,Vector Streaming LOCAL GATHER,54,1,3,1
6,3,Vector Aggregate,54,1,4,2
6,4,CStore Scan,22,1,-1,3
7,0,Row Adapter,114,1,1,-1
7,1,Vector Sort,114,1,2,0
7,2,Vector Streaming LOCAL GATHER,114,1,3,1
7,3,Vector Sonic Hash Aggregate,114,1,4,2
7,4,Vector Streaming LOCAL REDISTRIBUTE,114,1,5,3
7,5,Vector Sonic Hash Aggregate,114,1,6,4
7,6,Vector Sonic Hash Join,82,1,7,5
7,7,Vector Streaming LOCAL REDISTRIBUTE,94,1,8,6
7,8,Vector Sonic Hash Join,94,1,9,7
7,9,Vector Streaming LOCAL REDISTRIBUTE,94,1,10,8
7,10,Vector Sonic Hash Join,94,1,11,9
7,11,CStore Scan,46,1,-1,10
7,12,Vector Streaming BROADCAST,64,1,13,10
7,13,Vector Sonic Hash Join,64,1,14,12
7,14,CStore Scan,12,1,-1,13
7,15,Vector Nest Loop,60,1,16,13
7,16,CStore Scan,30,1,-1,15
7,17,Vector Materialize,30,1,18,15
7,18,CStore Scan,30,1,-1,17
7,19,Vector Streaming LOCAL REDISTRIBUTE,16,1,20,8
7,20,CStore Scan,16,1,-1,19
7,21,Vector Streaming LOCAL REDISTRIBUTE,12,1,22,6
7,22,CStore Scan,12,1,-1,21
8,0,Row Adapter,120,1,1,-1
8,1,Vector Sort,120,1,2,0
8,2,Vector Hash Aggregate,120,1,3,1
8,3,Vector Sonic Hash Join,56,1,4,2
8,4,Vector Sonic Hash Join,34,1,5,3
8,5,Vector Streaming LOCAL GATHER,38,1,6,4
8,6,Vector Sonic Hash Join,38,1,7,5
8,7,Vector Streaming LOCAL REDISTRIBUTE,46,1,8,6
8,8,Vector Sonic Hash Join,46,1,9,7
8,9,Vector Streaming LOCAL REDISTRIBUTE,38,1,10,8
8,10,Vector Sonic Hash Join,38,1,11,9
8,11,CStore Scan,46,1,-1,10
8,12,Vector Streaming BROADCAST,8,1,13,10
8,13,CStore Scan,8,1,-1,12
8,14,Vector Streaming LOCAL REDISTRIBUTE,24,1,15,8
8,15,CStore Scan,24,1,-1,14
8,16,Vector Streaming LOCAL REDISTRIBUTE,8,1,17,6
8,17,Vector Sonic Hash Join,8,1,18,16
8,18,CStore Scan,12,1,-1,17
8,19,Vector Streaming BROADCAST,4,1,20,17
8,20,Vector Sonic Hash Join,4,1,21,19
8,21,CStore Scan,8,1,-1,20
8,22,CStore Scan,4,1,-1,20
8,23,CStore Scan,12,1,-1,4
8,24,CStore Scan,30,1,-1,3
10,0,Row Adapter,233,1,1,-1
10,1,Vector Limit,233,1,2,0
10,2,Vector Sort,233,1,3,1
10,3,Vector Streaming LOCAL GATHER,233,1,4,2
10,4,Vector Limit,233,1,5,3
10,5,Vector Sort,233,1,6,4
10,6,Vector Sonic Hash Aggregate,233,1,7,5
10,7,Vector Sonic Hash Join,201,1,8,6
10,8,Vector Streaming LOCAL REDISTRIBUTE,30,1,9,7
10,9,Vector Sonic Hash Join,30,1,10,8
10,10,Vector Streaming LOCAL REDISTRIBUTE,30,1,11,9
10,11,CStore Scan,30,1,-1,10
10,12,Vector Streaming LOCAL REDISTRIBUTE,16,1,13,9
10,13,CStore Scan,16,1,-1,12
10,14,Vector Streaming LOCAL REDISTRIBUTE,179,1,15,7
10,15,Vector Sonic Hash Join,179,1,16,14
10,16,CStore Scan,157,1,-1,15
10,17,Vector Streaming BROADCAST,30,1,18,15
10,18,CStore Scan,30,1,-1,17
11,0,Row Adapter,91,1,1,-1
11,1,Vector Sort,91,1,9,0
11,2,Row Adapter,51,1,3,-1
11,3,Vector Aggregate,51,1,4,2
11,4,Vector Sonic Hash Join,19,1,5,3
11,5,CStore Scan,27,1,-1,4
11,6,Vector Sonic Hash Join,8,1,7,4
11,7,CStore Scan,12,1,-1,6
11,8,CStore Scan,4,1,-1,6
11,9,Vector Hash Aggregate,91,1,10,1
11,10,Vector Streaming LOCAL REDISTRIBUTE,27,1,11,9
11,11,Vector Sonic Hash Join,27,1,12,10
11,12,CStore Scan,35,1,-1,11
11,13,Vector Streaming BROADCAST,8,1,14,11
11,14,Vector Sonic Hash Join,8,1,15,13
11,15,CStore Scan,12,1,-1,14
11,16,CStore Scan,4,1,-1,14
12,0,Row Adapter,43,1,1,-1
12,1,Vector Sort,43,1,2,0
12,2,Vector Streaming LOCAL GATHER,43,1,3,1
12,3,Vector Hash Aggregate,43,1,4,2
12,4,Vector Streaming LOCAL REDISTRIBUTE,43,1,5,3
12,5,Vector Hash Aggregate,43,1,6,4
12,6,Vector Sonic Hash Join,27,1,7,5
12,7,Vector Streaming BROADCAST,19,1,8,6
12,8,CStore Scan,19,1,-1,7
12,9,CStore Scan,24,1,-1,6
13,0,Row Adapter,16,1,1,-1
13,1,Vector Sort,16,1,2,0
13,2,Vector Streaming LOCAL GATHER,16,1,3,1
13,3,Vector Sonic Hash Aggregate,16,1,4,2
13,4,Vector Streaming LOCAL REDISTRIBUTE,16,1,5,3
13,5,Vector Sonic Hash Aggregate,16,1,6,4
13,6,Vector Subquery Scan,8,1,7,5
13,7,Vector Sonic Hash Aggregate,16,1,8,6
13,8,Vector Hash Join,8,1,9,7
13,9,Vector Streaming LOCAL REDISTRIBUTE,8,1,10,8
